wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8402311,.9051071,-.2689611,.1239466,.3600743,.1251898,.3156729,.1120883,.7835834,-1.859226,-1.348401,-1.097086,-.801436,.764173,.3179888,-.0555559,.0255133,.3580914,.332767,-.068673,.0197986,.1713686,.0321888,26,.0038127,.02155,.0865138
2,1,2,.6128215,.5540736,-.0437498,.0661315,.5578759,.0552108,.3552791,.0797006,.809607,-1.636083,-1.32023,-.9147646,-.5782924,.9571934,.2163267,.0592696,.1444931,.0265041,.0888013,-.0132147,.1568294,.2031055,.0534249,26,.0063281,.0257241,.1032711
3,1,3,.5373934,.5108396,.1256008,.1077288,.5821747,.1187604,.3458605,.0962083,.828962,-1.571544,-.9147646,-.6916212,-.444761,1.133829,.1204627,.0843664,.2165743,.1891939,.3762942,.0664917,.1214922,.2409056,.0520514,26,.0061654,.0135699,.0544774
4,1,4,.4290443,.3280121,.2206913,.0823174,.7151009,.1033464,.4421499,.0720526,.8483343,-1.900048,-1.057866,-.760614,-.450459,1.246938,-.013355,-.0324695,.0061649,-.0064478,.0450124,-.0334401,-.0211864,.1783587,.1979926,26,.0234518,.0091345,.0366709
5,2,1,.6403105,.7823204,-.103631,.0979248,.6222474,.1048136,.5607487,.0731673,.8432681,-1.676905,-1.389223,-.9837575,-.6270826,.9015579,.0056322,.0066596,.1449254,.1657993,.2139305,-.0146003,.1606985,.1123223,.0384927,26,.0045594,.0254879,.102323
6,2,2,.4997721,.457194,.1008396,.1045033,.6383212,.1255837,.4238858,.0867477,.8189355,-1.676905,-1.27144,-.9429356,-.4729319,1.106099,.0768144,-.0113164,.084329,-.1051023,.1342519,.0796799,-.0074516,.1885362,.0422962,26,.0050099,.0239572,.0961779
7,2,3,.4153919,.3214246,.2757654,.10654,.7613193,.094216,.654421,.1123776,.8119543,-1.484533,-.760614,-.4729319,-.2497884,1.317539,-.0520079,.0619915,-.03785,-.0045841,-.0612258,.1442352,-.0623232,.1684949,.0350414,26,.0041506,.0163825,.0657685
8,2,4,.3033796,.2669696,.4030927,.0899947,.7456946,.1310445,.5553272,.0750443,.8150265,-1.571544,-.9429356,-.5137539,-.1544781,1.496446,.232434,.0064664,.1988013,-.0601511,.0490606,.0368124,.2951738,.1846275,.0867054,26,.0102701,.0079188,.0317907
9,3,1,.3638574,.5960852,.3071434,.1331939,.7226234,.1370113,.6585186,.1275604,.8172274,-1.676905,-1.079068,-.760614,-.1852498,1.359536,.3886552,.4527602,.2833883,-.174058,-.391337,.3573267,.2505428,.1476173,.0244761,26,.0028991,.0350858,.1408542
10,3,2,.3301289,.3806653,.46195,.0815517,.792354,.1001603,.66208,.0701142,.8724251,-1.27144,-.5374704,-.2906103,-.0674668,1.587166,-.0388488,.1344014,.0877695,.0803986,.0215716,.1797768,.1741388,.1528066,.1277338,26,.0151298,.0196197,.0787645
