wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8014846,.8770736,-.2218865,.115341,.3533945,.1066343,.3035569,.1774633,.7089834,-1.859226,-1.27144,-.9837575,-.6960755,.8010063,.2757017,-.0455482,.0804627,.2476773,.2673002,-.1156583,.0789887,.3085685,.0327681,26,.0039123,.0233144,.0918102
2,1,2,.561125,.5278022,-.0299916,.0874689,.5798216,.0939541,.3543419,.08022,.8318532,-1.676905,-1.32023,-.8559241,-.5782924,.9704537,.1098884,-.0333541,.0025681,-.0083428,.0254871,-.0693339,-.0200695,.2123151,.0543015,26,.0064832,.0181248,.0713739
3,1,3,.5172514,.4592507,.0892316,.1148313,.606187,.1354522,.3665709,.0973183,.8096896,-1.676905,-1.166079,-.9837575,-.5194519,1.093334,.0681862,.010602,.1178677,.0391862,.2180326,.0229379,.0264201,.1439307,.0520129,26,.00621,.0130179,.0512633
4,1,4,.4415101,.3367286,.2062399,.0930981,.7138427,.1170066,.4507856,.0809603,.8473911,-1.859226,-.9429356,-.760614,-.444761,1.229048,.1063127,-.0473557,-.0293385,-.0419071,.0113564,-.0327883,-.0726589,.1759186,.1960886,26,.0234116,.0064756,.0255003
5,2,1,.6793302,.79071,-.163035,.1154806,.5331928,.1249321,.44783,.0797725,.8556986,-1.453761,-1.32023,-1.170635,-.760614,.8495615,.0078753,.0545221,.1478415,.0059958,.1092316,.0599287,.161273,.1645638,.0351954,26,.0042021,.0227366,.089535
6,2,2,.5352485,.4451997,.0854985,.1379942,.6357937,.1566389,.4364891,.1230328,.7957257,-1.453761,-1.022978,-.801436,-.5782924,1.08926,.1020529,.112695,.2302686,-.1381948,.079542,.2902948,.2642992,.1504211,.0423038,26,.0050508,.0211762,.08339
7,2,3,.374943,.3318536,.2977599,.0937527,.7579811,.0883116,.6079982,.0964552,.8324743,-1.302211,-.9429356,-.4729319,-.2906103,1.346838,.0401064,.0967789,.1317807,.0422586,.0774871,.1420061,.2298142,.1540824,.0352647,26,.0042104,.0140432,.055301
8,2,4,.2949844,.262698,.4229807,.0986132,.7296228,.1362426,.4879286,.085206,.8157375,-1.494583,-.760614,-.4729319,-.0674668,1.526505,.0335394,.0364867,-.0085848,.0311854,.0275581,.0756453,-.0719342,.1169149,.0901557,26,.010764,.0063047,.0248274
9,3,1,.3024474,.6014957,.2861321,.1031861,.7000857,.0807626,.6472402,.1370318,.7798499,-1.166079,-.760614,-.5782924,-.1627769,1.331268,.1803359,.4299016,.1876123,.1509066,-.3653227,.2291205,.4082081,.1583142,.0209092,26,.0024964,.0305208,.1201886
10,3,2,.269343,.3725774,.5124506,.0871009,.7981737,.1011369,.6672769,.078766,.8759031,-1.27144,-.5699936,-.2497884,-.0674668,1.669377,.0344125,.0624488,.015361,-.0164717,-.0320088,.1382335,.0353394,.1775779,.1279517,26,.0152765,.0157904,.0621812
11,3,3,.2106496,.2521662,.7155507,.0776155,.7950135,.1201727,.553911,.0632654,.8763122,-1.137908,-.5137539,-.2497884,-.0186766,2.045313,.1070917,.1067125,.0657519,-.0043704,-.0246935,.2426942,.2076834,.1501652,.0966746,26,.0115423,.0086243,.0339616
12,3,4,.1196301,.2274622,.9983065,.0828075,.8333865,.1167075,.6565149,.0728262,.8854638,-1.302211,-.5782924,-.2497884,.0503162,2.713682,.1118229,.1438743,.2888959,.265099,.3853349,-.0458666,.1786803,.1864951,.2163737,26,.0258335,.0044295,.0174431
1,1,1,.4962912,.7634236,-.1047179,.101355,.3736884,.1055831,.3031588,.0877113,.6012847,-1.859226,-1.389223,-1.097086,-.760614,.9005785,.0465623,.1392011,.0215057,.1396298,.0550879,.1345367,.0067773,.0661973,.0287058,29,.003639,.0202786,.0798556
2,1,2,.625713,.6565724,-.086935,.0729876,.5161208,.0906143,.3561846,.0392886,.8218904,-1.676905,-1.166079,-.8502261,-.5782924,.9167367,.2278035,.0091643,-.1223284,.5911248,.079843,-.0337144,-.1748719,.0566813,.0447079,29,.0056676,.0157648,.0620803
3,1,3,.4965096,.3487771,.2462542,.1157073,.7234488,.1931731,.4315017,.0742188,.8798076,-1.453761,-.6270826,-.5374704,-.2497884,1.279225,.1846456,.1413028,-.0168882,.0933274,.0502779,.2101468,-.248555,.0654413,.0440221,29,.0055807,.0113228,.0445883
4,1,4,.3796846,.3153567,.2991207,.0934604,.7009729,.1089443,.3942248,.0863283,.8422655,-1.453761,-.9429356,-.5374704,-.2497884,1.348672,.042368,.0428523,.0745861,-.0000249,.0221762,.0366596,.0994639,.0783307,.1646582,29,.0208738,.0056324,.0221799
5,2,1,.4674186,.7333524,-.0217986,.1697169,.5632345,.2120029,.4329753,.0534193,.9214823,-1.453761,-1.097086,-.9429356,-.5782924,.9784373,.0686112,-.026933,-.0183939,.1105328,-.0060715,-.0581888,-.0072404,.0213885,.0387642,29,.0049142,.0197761,.0778767
6,2,2,.4218656,.464208,.1817833,.1018916,.6522926,.1153443,.4824834,.0902363,.7994146,-1.389223,-.878397,-.7242464,-.3551489,1.199354,.164364,.0445873,-.0309011,.0681982,-.0970659,-.035396,.0078088,.1025903,.0554521,29,.0070297,.0184188,.0725318
