wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7045078,.335532,.1043421,.4152454,.1079832,.2295782,.0956611,.8579099,-1.012026,-.7243441,-.318879,-.1365575,1.398684,.3714547,.190703,-.0128826,.1904742,-.0760536,.095618,-.0439099,.2420891,.0123203,26,.0014593,.0378901,.1007277
2,1,2,.007074,.4375264,.4933021,.0987657,.638432,.1321753,.3471444,.0727777,.8650132,-1.012026,-.5420225,-.1853476,-.031197,1.637715,.2813329,-.0408844,.0848134,-.0013529,.1357011,-.0928879,-.0623495,.2918708,.0195561,26,.0023164,.035328,.0939167
3,1,3,.0087447,.3119859,.6077722,.0602627,.7162872,.0430864,.3812371,.0680514,.8682185,-1.23517,-.3597011,-.031197,.1511246,1.836336,.0378408,-.0626791,.0275535,-.1237961,-.0243245,.1566599,.2048141,.6477733,.0196539,26,.002328,.0185565,.049331
4,1,4,.0035435,.2415072,.6470298,.0671519,.7276191,.0977245,.3656727,.0574174,.8428642,-.8297046,-.318879,-.1365575,.1511246,1.90986,.1595142,.0034207,.0674337,-.0134357,.0352198,.0168705,.0642833,.367087,.1444542,26,.0171106,.0059221,.0157433
5,2,1,0,.6712911,.476695,.0858077,.5683743,.0862671,.4254127,.0848694,.8603312,-1.23517,-.5012006,-.2543405,.0377959,1.610742,.2649926,.0005632,.0440382,-.4044185,-.3585359,.1873893,.1482379,.2352664,.0247058,26,.0029264,.0285524,.0759043
6,2,2,.0067834,.360602,.5597584,.0894525,.723473,.164662,.4535164,.0470364,.8757207,-.7243441,-.1365575,.0175933,.278958,1.75025,.2857355,-.0086853,.1349446,.0065617,.3327816,.0045055,.0143112,.4948391,.0230762,26,.0027334,.0288787,.0767719
7,2,3,.0031286,.2906803,.6503249,.0371356,.7513782,.0426411,.4490723,.0348795,.8752636,-.318879,-.072019,.1511246,.3742682,1.916163,.0747468,.1402176,.1639292,-.0118073,.1389387,.5163237,.1835673,.5124124,.0201754,26,.0023898,.0164281,.0436728
8,2,4,.0065022,.1843245,.7357005,.068059,.7923612,.158936,.3952639,.0475229,.8820963,-.7651661,-.318879,-.031197,.1511246,2.086943,.0164069,-.0463394,-.0123325,-.05472,.0034294,-.0260241,-.0578652,.3758712,.0821029,26,.0097251,.0062316,.0165661
9,3,1,0,.4289015,.5864103,.0610581,.7953515,.1024869,.6130663,.0299446,.9322497,-1.417491,-.5420225,-.2055503,.1511246,1.797524,.1227235,.1132721,.3171642,-.1593923,.0903238,.3984807,.5793593,.4021867,.0346143,26,.0041001,.0390952,.1039316
10,3,2,0,.2239286,.8241483,.0575988,.8541628,.1252024,.6154333,.0380923,.9230461,-.9474877,-.2419179,.1511246,.3742682,2.279938,.1592354,.0711091,.0781072,.058699,.0470766,.0476936,.0564225,.3409533,.1240833,26,.0146977,.0203527,.0541059
11,3,3,.0012934,.1484473,.9846209,.0463979,.8803372,.1019532,.607536,.0367132,.9278933,-.5420225,-.1365575,.1850262,.4102785,2.676797,.0213299,-.0164237,.0349666,-.0004187,.0502857,-.0390578,.0118837,.3533382,.1279619,26,.0151571,.0122993,.0326967
12,3,4,.0003989,.1246048,1.144171,.0486985,.8727741,.1193259,.577347,.0386453,.9148256,-.6373327,-.031197,.1511246,.4102785,3.139837,.1009616,.0337705,.0761345,.048881,.0969002,.006875,.0024603,.3045803,.3672957,26,.0435061,.0052931,.0140714
1,1,1,.0373243,.7794626,.2966819,.1740171,.3007807,.0940697,.2376081,.4565813,.5240567,-1.012026,-.5420225,-.5420225,-.2318677,1.345387,.3572008,.1818379,.0672197,.7064176,.1148977,-.0201401,.0048145,.1475241,.0134573,29,.0014246,.0343251,.0912507
2,1,2,0,.3110595,.6211011,.0876806,.7061431,.1040899,.2696958,.0802717,.903201,-.1853476,-.031197,.0377959,.278958,1.860976,.1513441,.2256768,.1852652,.2318331,.1724454,.1856581,.1108737,.1599356,.0146973,29,.0015559,.0320041,.0850805
3,1,3,0,.3238603,.6322199,.1308254,.6527888,.1026559,.2628664,.1443182,.8395556,-.7243441,-.2543405,-.1365575,-.072019,1.881783,.5528259,.587785,.6757112,-.1139873,-.1390734,.6736056,.859165,.1807565,.0146973,29,.0015559,.0168106,.0446897
4,1,4,.0022494,.2000401,.7491567,.080008,.7860654,.1515756,.3224972,.0621116,.9019865,-1.275992,-.318879,-.031197,.2564851,2.115215,.0980527,-.0937776,-.0483846,-.3333582,-.3197531,.0421215,.1468044,.1365801,.1048505,29,.0110995,.0053649,.0142621
5,2,1,0,.7450018,.6281361,.1321947,.638685,.1028169,.5896398,.2180247,.7819753,-.7651661,-.2543405,-.031197,.3052753,1.874114,.1927596,.1226867,.0987889,.1833138,.2756502,.1082353,.075741,.0845485,.0215536,29,.0022817,.025866,.0687628
6,2,2,.0052004,.3476664,.6167294,.1203954,.6456298,.178143,.4222079,.0896183,.7647042,-.5420225,-.1365575,-.031197,.1919466,1.852858,-.0888347,-.0119388,-.0222343,.0023735,-.0227781,-.0168262,.0088549,.1438381,.0239606,29,.0025365,.0261617,.0695487
7,2,3,0,.1901138,.7255028,.1398156,.7788399,.2292707,.4670996,.1188168,.8520183,-.6373327,-.031197,.3334461,.4102785,2.065769,-.1080876,-.0188682,.1228688,.0833687,.1472966,-.3927745,.2790444,.2479109,.0191831,29,.0020307,.0148824,.0395638
8,2,4,0,.2030298,.8118029,.0835258,.779797,.1614846,.377482,.0636656,.8822875,-1.23517,-.1365575,.1511246,.278958,2.251964,.1455497,.0472725,.062672,.0299823,.0161682,-.0475957,.0573202,.2513174,.084318,29,.0089259,.0056453,.0150075
9,3,1,0,.3159256,.6617445,.1104257,.7779134,.0878944,.651527,.1208314,.8362823,-.9350651,-.4286939,-.100547,.1511246,1.93817,.0175537,-.0670384,.0497595,-.0080671,.1232428,-.1167217,-.0333386,.130758,.0203866,29,.0021581,.0354169,.0941531
10,3,2,.000853,.2242158,.815329,.0684743,.8533208,.0900092,.6919638,.0622503,.8999559,-.2318677,.2564851,.3742682,.5565897,2.259919,.0868996,.158208,.0882537,.1275442,.0119571,.1668688,.1371388,.2567908,.1122174,29,.0118793,.0184378,.0490153
11,3,3,0,.1182784,1.094181,.0705127,.8856617,.1177854,.7063402,.0641714,.9097167,-.2543405,.1511246,.3742682,.49729,2.986737,-.0055812,.1137474,.1633535,.0809617,.1135435,.147351,.2731791,.210358,.1331145,29,.0140915,.0111421,.0296204
12,3,4,0,.0982762,1.26972,.0597232,.892092,.144136,.6063108,.0505233,.9232385,-.318879,.0865861,.3742682,.5413222,3.559855,.0557975,.0531645,.0821294,.0150449,.0570252,.1411802,.096175,.2209524,.4375638,29,.0463206,.0047951,.0127474
1,1,1,.0142104,.5590888,.5810398,.1025643,.5571266,.1512299,.2905301,.0408549,.8951792,-.9474877,-.2543405,.0821318,.3277482,1.787897,.1179061,.1285673,.0116299,.3272575,.1570618,.0929755,-.069784,.4124463,.0111981,31,.0024013,.0318056,.0845526
2,1,2,0,.240119,.7356362,.0755512,.715683,.0711326,.3594987,.0769475,.8282357,-.6373327,.2689076,.4102785,.49729,2.086809,-.0129151,.026972,.0599837,.0462458,.0980554,.0832526,-.0002681,.9421291,.015663,31,.0033588,.0296549,.0788353
3,1,3,0,.2680735,.7918251,.0749374,.7000412,.1295189,.2261595,.0549465,.8736039,-.5420225,.0865861,.1919466,.4388067,2.207422,.256332,.1664187,.1100861,.1253657,.0629801,.1414645,-.0012078,.6036758,.0137006,31,.002938,.0155767,.0414093
4,1,4,.0034176,.1788918,.8695958,.0704288,.7899828,.1116848,.3774246,.0614405,.8798653,-.5420225,.1511246,.3742682,.49729,2.385946,-.0178731,-.0140296,.0306821,.0351531,.0720512,-.1018264,-.0262818,.5327721,.1572959,31,.0337309,.0049711,.0132152
