wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8174126,.8935164,-.2651522,.1053385,.3593466,.095388,.315161,.1888344,.7301123,-1.964587,-1.549071,-1.079068,-.760614,.7670892,.7477114,-.0455961,.0080659,-.0119622,-.0115961,-.0395901,-.0061772,.1645833,.0311398,26,.0036836,.0267699,.1001223
2,1,2,.5971043,.615136,-.0650358,.0950547,.5182362,.0931157,.3583751,.0981538,.7737454,-1.676905,-1.166079,-.8559241,-.5782924,.9370339,.0920952,-.0439413,.0049393,-.0365968,.0618489,-.01916,-.0122578,.1636049,.052652,26,.0062283,.0211899,.0792523
3,1,3,.4508759,.4519622,.1413068,.0979348,.5998343,.1053852,.3471904,.0917904,.8081875,-1.571544,-1.166079,-.8296069,-.4729319,1.151778,.1938779,.1328246,.1292702,.0411847,.1152826,.2435588,.0387523,.226135,.0511003,26,.0060448,.0173204,.0647802
4,1,4,.4312544,.3531474,.2163035,.0897454,.6893138,.115814,.4274029,.0755133,.8323033,-1.900048,-.9837575,-.760614,-.4241417,1.241479,-.0034397,-.0077147,-.0318938,.0104651,.0716385,.0526339,-.1063183,.1797595,.1947031,26,.0230318,.0087263,.0326374
5,2,1,.6155747,.7678302,-.1059688,.1000588,.5947014,.1097092,.5080656,.068143,.8812225,-1.559122,-1.27144,-.9837575,-.6736026,.8994527,.0065659,-.0557066,.1245374,-.0900885,.1067735,-.0526843,.1233303,.1753177,.0397094,26,.0046973,.023603,.0882777
6,2,2,.4284814,.4418234,.1663448,.1195677,.6516712,.1490915,.4534058,.0961981,.8086078,-1.166079,-.9837575,-.760614,-.3551489,1.18098,.0238068,-.0029246,.0902976,-.0745514,.108705,.0833883,.0379436,.1831122,.0452462,26,.0053523,.0247357,.0925141
7,2,3,.3080149,.3572167,.2923917,.0935061,.7218598,.1257145,.5492297,.0756067,.8177962,-1.549071,-.9837575,-.5782924,-.2906103,1.339628,.0458044,.1367869,.1086259,.0731651,.1075176,.2570802,.0991028,.2262804,.0332557,26,.0039339,.0198382,.0741969
8,2,4,.2665384,.2638431,.4001757,.0902316,.7355472,.1075953,.4829559,.0840083,.8260775,-1.816667,-.9837575,-.5782924,-.2906103,1.492087,.1079766,.0903164,.2037386,.0222256,.0915873,.0694785,.3336042,.1842624,.0900339,26,.0106503,.0084286,.0315238
9,3,1,.2739063,.6070486,.3468104,.1318966,.6258366,.1403257,.5228077,.118875,.785,-1.676905,-.760614,-.3647183,-.1627769,1.414549,.2210129,.2176066,.1493306,-.0995679,-.1941399,.2127582,.2043354,.1152937,.0218649,26,.0025864,.0342132,.1279608
10,3,2,.2761958,.3843199,.5112057,.0803227,.8103124,.1031485,.6785426,.0660744,.8925658,-1.27144,-.4729319,-.1852498,.0195445,1.6673,.0149305,-.0550154,.0211196,-.1402992,.01239,.043887,-.002231,.171795,.1247002,26,.014751,.0194864,.0728812
