wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.7948285,.9145463,-.2308217,.0949852,.3372447,.0923729,.2976402,.1229423,.7611017,-1.859226,-1.27144,-.9837575,-.760614,.7938809,.0249605,-.0495971,.1881007,.4635591,.3668934,-.0943455,.2068995,.3325854,.0338537,26,.0040157,.028184,.1017169
2,1,2,.673835,.5666108,-.063868,.0844924,.5468944,.0713927,.330366,.1016189,.8299825,-1.676905,-1.166079,-.9147646,-.5782924,.9381288,.2528847,.065711,.060612,.1764821,.198064,.0174676,-.0140833,.1458169,.0524119,26,.0062171,.0286555,.1034185
3,1,3,.4566795,.4774377,.1557163,.1081343,.5959162,.1487,.3271553,.0710716,.8414688,-1.676905,-1.166079,-.878397,-.450459,1.168495,.1096432,.1840562,.2148582,.1150616,.1906998,.2292961,.1708522,.2428699,.0538151,26,.0063836,.0153773,.055497
4,1,4,.4349561,.337984,.2161057,.0974932,.7054684,.1093409,.4694442,.0914445,.8259676,-1.900048,-1.137908,-.760614,-.3859206,1.241234,.0359295,-.0439736,-.0654295,-.0360198,-.056319,-.0558017,-.0727704,.1804945,.190984,26,.0226546,.0093542,.0337597
5,2,1,.6073893,.7887815,-.0784539,.0913301,.643991,.0947112,.5818032,.0787035,.8762273,-1.676905,-1.27144,-.9837575,-.5782924,.9245447,.1919017,.0449674,.2081336,.280043,.4137756,.0133159,.1732001,.1412399,.0346606,26,.0041115,.0243031,.0877107
6,2,2,.5149134,.412071,.1089994,.0882585,.6602721,.1118963,.4162908,.0716911,.831275,-1.676905,-1.022978,-.8659745,-.5194519,1.115162,.0187848,.0453038,.1552144,.0654044,.2288442,.0645067,.0836935,.1589418,.0453254,26,.0053765,.0294863,.1064171
7,2,3,.366942,.2769685,.2834587,.0807557,.7662266,.0909966,.5381825,.0768327,.8535825,-1.27144,-.5782924,-.5374704,-.2906103,1.327714,.1359491,-.1209761,-.1246023,-.1719237,-.1279766,.0416769,-.1289171,.2508272,.0334678,26,.00397,.0153764,.0554938
8,2,4,.2956461,.2839549,.3822423,.0864859,.7184742,.1287609,.4543913,.0697213,.823199,-1.842419,-.9837575,-.5374704,-.2216175,1.465567,.0928232,.0786826,.1675074,-.0884938,.0576477,.2338396,.2518152,.2215103,.0877741,26,.0104118,.0090292,.0325867
9,3,1,.4316663,.5658001,.2084986,.139959,.6402699,.0661959,.574946,.2360787,.7253925,-1.676905,-1.079068,-.760614,-.2906103,1.231827,.6051054,.5875907,.3791241,.1111678,.0253163,.5366649,.4374132,.1371465,.0238204,26,.0028256,.0354398,.1279035
10,3,2,.2888692,.3689573,.516007,.0794825,.8104665,.0924985,.6957276,.0718724,.8775518,-1.27144,-.4729319,-.1852498,-.0674668,1.675325,.0231464,.1411449,.1060555,.035085,.0214704,.2450065,.1709557,.1838912,.1257674,26,.0149186,.0230887,.0833277
11,3,3,.215998,.2641282,.6944204,.0841875,.7819176,.0966977,.5315599,.0796972,.8717791,-.760614,-.450459,-.2906103,-.0674668,2.002548,.2549398,.1816623,.1712072,.0852036,.1106153,.3263894,.1007138,.2350974,.1003684,26,.0119058,.0114312,.0412556
12,3,4,.1172715,.2360415,.9912616,.0817781,.8352728,.1391649,.6324749,.0640472,.8979316,-1.348401,-.760614,-.2497884,.0221454,2.694632,.1132861,.0375143,.1289315,-.0246013,.0945317,.0930169,.1325625,.1797446,.2177513,26,.0258298,.0059007,.0212959
1,1,1,.5576914,.8032619,-.2264012,.1079174,.3923688,.1104582,.3294469,.0975435,.6492726,-2.013377,-1.453761,-1.166079,-.801436,.7973981,.0446509,-.1496753,.0162946,-.0532316,.098045,-.1639879,.0071715,.0568286,.0297137,29,.0037702,.0182351,.0658109
2,1,2,.6348313,.6103427,-.0288467,.0961912,.5534081,.1060038,.3575773,.0808214,.8601493,-1.676905,-1.117289,-.760614,-.5782924,.9715654,.025538,-.0086522,.0113484,.0298293,.0260676,-.0105566,.0038986,.0777657,.0453904,29,.0057594,.0185401,.0669118
3,1,3,.4876547,.3291532,.1656505,.1145525,.7110143,.1276616,.4690737,.1081205,.8297232,-1.502551,-.9429356,-.760614,-.4949108,1.180161,.0125606,.1169212,.1434406,.1192948,.1247889,.1121326,.1927502,.0644629,.0414549,29,.00526,.0099491,.0359066
4,1,4,.3602245,.3327149,.3045659,.0946116,.6785103,.0781646,.3789008,.1028122,.8278986,-1.27144,-.760614,-.3551489,-.0674668,1.356036,-.0084643,.028453,.0364745,-.0375283,-.0549328,.0313642,.0895633,.0547005,.1706077,29,.0216476,.0060522,.0218426
5,2,1,.5773228,.7589396,-.0268628,.1406391,.5753648,.1576668,.4758878,.0870301,.8885522,-1.389223,-1.097086,-.9429356,-.5782924,.9734948,.0364941,-.1903919,-.0201255,.2634632,.3163817,-.2774597,-.019893,.0270007,.038044,29,.0048272,.0157241,.0567489
