wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8931836,.9163548,-.2621553,.1012233,.3186776,.0949516,.2760821,.1699312,.7853225,-1.676905,-1.166079,-.9837575,-.760614,.7693915,.3661441,-.0028277,.1025677,.1407629,.2280954,.0072815,.0925562,.1462661,.0316061,26,.0038025,.0261339,.0975622
2,1,2,.606277,.5402323,-.0511604,.0771379,.5658376,.0749625,.3394495,.079694,.8318462,-1.676905,-1.27144,-.9837575,-.7324431,.9501262,.2399397,-.0183711,.0123808,.0036911,.0537913,-.0446801,.0114845,.1923955,.0541573,26,.0065157,.028342,.1058056
3,1,3,.5443564,.4678964,.0923375,.0834536,.6048041,.1133277,.3644941,.0571843,.8161168,-1.676905,-1.166079,-.9837575,-.5782924,1.096735,.1258692,.1091222,.1732025,.0042139,.1499914,.1680342,.1454176,.197785,.0539852,26,.006495,.0171328,.0639597
4,1,4,.4400312,.3360844,.2103627,.0954428,.7019259,.117955,.4554204,.0840467,.8267108,-1.859226,-1.137908,-.760614,-.4729319,1.234126,.0130266,.0116838,-.0660487,.0039388,-.0062755,.0821105,-.1417106,.139333,.2005509,26,.0241284,.0091213,.0340512
5,2,1,.6119075,.7804615,-.0580171,.1232012,.5875372,.1285429,.5116467,.1042115,.8573285,-1.32023,-.9837575,-.9147646,-.6270826,.9436339,.0202971,-.0574587,.1032411,.0755718,.2244689,-.0662235,.1119123,.1137474,.0344638,26,.0041464,.028389,.1059811
6,2,2,.5086738,.4131615,.1377932,.1140784,.6389779,.1145226,.4270845,.1137657,.7881607,-1.389223,-.9429356,-.6736026,-.3252959,1.147738,.0859072,.0820351,.1585522,.161955,.2695199,.0783646,.0819181,.1062265,.0429334,26,.0051653,.0215512,.0804544
7,2,3,.3700841,.3220238,.2432445,.0915808,.770729,.1098005,.6555824,.0829268,.8254211,-.9837575,-.8167034,-.5782924,-.2497884,1.27538,.0776189,.1444864,.1157804,.1133448,.1627145,.2526881,.0869911,.2104074,.0327423,26,.0039392,.0133267,.0497509
8,2,4,.2825758,.2874979,.4133616,.0870185,.730222,.1016674,.4552171,.0811076,.8411877,-1.549071,-.760614,-.3551489,-.0674668,1.511892,.0065332,.0615309,-.0290839,-.0942103,-.1076845,.3003368,.0435064,.1433668,.085247,26,.0102561,.007324,.0273418
9,3,1,.3395545,.5794712,.3110211,.1339312,.6568638,.1397429,.5327569,.1259229,.8278779,-1.676905,-.760614,-.2906103,-.1627769,1.364818,.4190849,.4512055,.1544444,-.0522862,-.2503834,.5063156,.1558249,.1498044,.0211052,26,.0025392,.0387121,.1445189
10,3,2,.3356636,.3750747,.4963857,.0876634,.8063594,.1112045,.6897618,.0735342,.8763402,-1.348401,-.5782924,-.2497884,-.0674668,1.642773,-.0923757,.1655071,.0806883,-.0119413,-.0627134,.3975511,.2678423,.1833066,.1282493,26,.0154297,.0202503,.075598
11,3,3,.2190495,.2288832,.6908418,.0790673,.7859726,.0793824,.5396089,.0789738,.8590984,-1.137908,-.4241417,-.203599,-.0674668,1.995395,.2249857,.0836611,-.0010013,.0351994,-.0529948,.1021608,.0745175,.1347684,.1003271,26,.0120704,.0111041,.0414536
12,3,4,.1176901,.2188031,1.014232,.0740928,.8455665,.1392886,.6325783,.0558323,.9052217,-1.27144,-.4729319,-.1852498,.0603665,2.757244,.1884904,-.0722834,.1355886,-.1655793,.0551019,.0180241,.188047,.1810119,.2146325,26,.0258225,.0056173,.0209705
1,1,1,.7593232,.7863239,-.2016412,.0892531,.3879274,.0966064,.3093364,.0621931,.6771409,-1.636083,-1.453761,-1.117289,-.760614,.8173881,.1650498,.1778597,-.0360137,-.0143892,-.0722657,.2046737,-.0498909,.0765783,.0326817,29,.0041132,.0206097,.0769396
2,1,2,.627663,.608693,.018195,.1007359,.5777455,.1056005,.4296136,.0931688,.8081703,-1.29961,-1.117289,-.760614,-.5782924,1.018362,.0600255,.154466,.0843868,.0814031,.0913084,.1701986,.0614301,.0948106,.0467022,29,.0058778,.0223511,.0834405
3,1,3,.5318708,.3636874,.2035039,.1240588,.6614488,.151398,.4397456,.108433,.7881642,-1.502551,-.9429356,-.5782924,-.3551489,1.22569,.0749385,.0979357,.0285403,.0295958,.0310651,.1738688,-.0168333,.0677228,.043411,29,.0054636,.0135113,.05044
4,1,4,.3971423,.2711085,.3134386,.1044267,.7188374,.085739,.4842791,.1113776,.8060804,-1.166079,-.8296069,-.5374704,-.2497884,1.368122,.0128087,.0640476,.0684621,.0379731,.047373,.0896548,.0781857,.0821264,.1605121,29,.0202016,.0071932,.0268535
5,2,1,.4222578,.7538404,-.0204839,.1199392,.6121526,.1434222,.5291438,.0480247,.8663593,-1.453761,-1.097086,-.8502261,-.5782924,.9797245,.1479399,-.2237976,-.1326045,-.1118283,-.0286347,-.252898,-.1410961,.0375258,.0358083,29,.0045067,.0223882,.083579
6,2,2,.4410875,.4750372,.1377852,.1255799,.6395747,.1198537,.5012174,.1307616,.7647738,-1.636083,-1.389223,-.9429356,-.5374704,1.147729,.1654386,.1449263,.1107094,.1910784,.0371808,.025959,.1537212,.0839661,.0553252,29,.0069631,.0169958,.0634481
7,2,3,.3213213,.2194309,.361416,.1422817,.7275262,.1804213,.5008948,.13156,.791236,-1.389223,-.9429356,-.2906103,-.1852498,1.43536,-.0320341,.1938691,.282602,.3308197,.3841926,.05397,.2173793,.1034246,.0317272,29,.0039931,.0105097,.0392346
8,2,4,.2508389,.1922113,.5060521,.1034514,.7674332,.1426742,.5070562,.0941184,.8293893,-.9429356,-.444761,-.2497884,-.0674668,1.65873,.0277464,-.0014826,-.0513644,-.0860849,-.122932,.1441492,.0793653,.0553792,.0969589,29,.012203,.0057759,.0215624
9,3,1,.30547,.3338245,.3163962,.0921408,.7218307,.0423625,.6104109,.1170851,.7776638,-1.859226,-.8167034,-.2906103,-.1627769,1.372174,.0256888,-.1359239,.0000172,.0802986,.3162351,-.1881239,-.0917594,.0381617,.0206359,29,.0025972,.0305292,.1139706
10,3,2,.3020565,.3443612,.5783237,.0908891,.7797222,.1179655,.6597793,.0766678,.8427198,-.760614,-.4241417,-.0674668,.0866839,1.783047,.0635248,.0503267,.0915452,.1186842,.1590003,.0001233,.0368656,.059744,.1195037,29,.0150404,.0159698,.0596182
11,3,3,.2179324,.1807251,.7552476,.0623946,.851891,.1217892,.7005243,.0492926,.8852812,-1.166079,-.4729319,-.1082888,.0809532,2.128138,.1206414,.2533386,.1751785,.4348901,.2253049,.0873931,.1216633,.065843,.0989666,29,.0124556,.0087569,.0326912
12,3,4,.110884,.1435612,1.170814,.0617016,.8732731,.0923131,.7214996,.0565704,.8987142,-.760614,-.3551489,-.1320053,-.0674668,3.224615,.1533898,-.0292498,-.0182559,-.0432592,-.0031122,.0687731,-.0704474,.0821596,.2577673,29,.0324418,.00443,.0165378
1,1,1,.5948648,.726495,-.001336,.0765855,.3316565,.0737794,.1737878,.084039,.7509937,-1.36675,-.9837575,-.760614,-.2906103,.9986649,.0799514,.0236914,.139894,.0123549,.212914,.0392819,.0982357,.2721044,.0235658,31,.0043286,.0274927,.1026351
2,1,2,.403087,.3974462,.2325221,.0988314,.6246069,.1075981,.3059645,.0930489,.8347843,-1.166079,-.5529746,-.3551489,-.2497884,1.261778,.1337718,.3038893,.130688,-.0340267,.0453373,.540446,.0795881,.2175594,.0390357,31,.0071702,.0298157,.111307
3,1,3,.2875277,.2696798,.3668166,.1004116,.6882888,.1312478,.3587278,.089025,.8099833,-1.27144,-.4729319,-.2906103,-.0674668,1.443133,-.0617952,.0354521,.0169667,-.0042939,-.004937,.1052196,.0748084,.2552818,.0500631,31,.0091957,.0180236,.0672853
4,1,4,.2165616,.2349036,.5051294,.0837465,.7440637,.1294889,.3664843,.0697024,.8599899,-1.166079,-.5374704,-.2497884,-.0674668,1.6572,.0496034,.0549053,.0370202,.0413613,.0385307,.0843554,.016558,.2232262,.2211348,31,.0406185,.0095955,.0358217
5,2,1,.5922834,.5739601,.1242691,.1087108,.5270135,.0989527,.3470374,.1218569,.7694771,-1.166079,-.760614,-.5782924,-.2906103,1.132321,.0468637,.117965,.0694519,.176096,.1547205,.1023139,.0128811,.1726028,.0552499,31,.0101484,.0298652,.1114917
6,2,2,.3559886,.2726846,.3026602,.0822176,.6955838,.0912316,.3457868,.0788381,.8267295,-.9612846,-.5782924,-.3551489,-.0674668,1.353454,.0953363,.0029566,.0065475,-.0061562,-.0226637,-.0318407,.0362485,.25056,.0458912,31,.0084294,.0226718,.0846378
7,2,3,.1561476,.1598017,.5809104,.0904927,.7656761,.1156835,.4351883,.0857016,.8285333,-.4241417,-.2497884,-.1082888,.0195445,1.787665,.157366,.0092522,.1098391,-.0701011,.0346059,.3474963,.3024145,.2784424,.032293,31,.0059316,.0140197,.0523378
8,2,4,.1166799,.1966232,.6883572,.0873914,.7666025,.1555091,.4002069,.0707198,.8562764,-.760614,-.3551489,-.0674668,.0195445,1.990443,.0066166,-.0369469,-.0657313,-.0005969,-.0376658,-.0908951,-.1045985,.3077192,.0997655,31,.0183251,.0077048,.0287635
9,3,1,.3469969,.3358853,.3561938,.1224305,.6894154,.1232803,.5129291,.1220007,.7786758,-1.166079,-.5782924,-.2906103,-.0674668,1.427884,.0933693,.2255394,.1951158,.1363066,.095527,.3489754,.3561683,.2039348,.0313233,31,.0057535,.040725,.1520333
10,3,2,.2277958,.2670911,.5767197,.1055664,.7457539,.1208892,.5900829,.0999825,.8024845,-.760614,-.2497884,-.0674668,.1148548,1.780189,.0554956,.0458831,.0757135,.0769676,.0664212,-.0287001,.0913809,.2134739,.1382149,31,.0253876,.0213033,.0795288
11,3,3,.0850923,.160126,.8862903,.0808731,.8174589,.1291143,.5744939,.0716757,.8637814,-.4729319,-.0674668,.0866839,.2690055,2.426113,.0022374,.0985105,.0073525,.0648488,.0025249,.2151671,.0156964,.2046994,.0902941,31,.0165854,.0116815,.043609
12,3,4,.0513392,.1714257,1.405102,.0728688,.843228,.1387241,.6009976,.0592438,.8933436,-.4729319,-.0674668,.1148548,.3892916,4.075943,.0296909,.0571074,.0934443,.0761204,.1212182,.0130201,.0251582,.1942919,.1731689,31,.031808,.0059094,.0220609
1,1,1,.3674391,.6992041,.1365265,.1953152,.3738778,.1595957,.2837035,.2783454,.5834892,-1.676905,-.760614,-.4729319,-.2497884,1.146285,.0573412,.0263477,.0663359,.4582637,.3641928,-.0115662,.1402256,.0828908,.0220784,33,.0035333,.0115209,.0430094
2,1,2,.2821985,.4467096,.3295837,.1131763,.5718665,.1225996,.3283435,.1055682,.7684793,-.6270826,-.2906103,-.2216175,-.0674668,1.390389,.2313834,.0643394,.2743863,-.0541677,.1319062,.1093676,.3313638,.0599656,.0394461,33,.0063127,.0124943,.0466434
3,1,3,.2610845,.3655563,.3789717,.14678,.6152825,.1700726,.3549541,.1333592,.7652795,-.6736026,-.3551489,-.2497884,-.0674668,1.460782,-.0053523,.1400358,.0934028,.0568206,.0310987,.2554549,.13855,.1361659,.0357448,33,.0057204,.0075528,.028196
4,1,4,.1724317,.305663,.5556503,.1141334,.6345295,.1317889,.4020621,.106361,.736867,-.760614,-.2497884,-.0674668,.034812,1.743074,.0497405,.0878669,.1363643,.1001934,.1225802,.0566959,.1474548,.0695636,.1927527,33,.030847,.004021,.0150112
5,2,1,.5183096,.5664025,.220099,.065984,.5683535,.0729549,.4273096,.056878,.7525972,-1.166079,-.760614,-.4729319,-.1364597,1.2462,.2810892,.1006234,-.0256568,-.1349629,-.1588818,.1044433,-.023327,.0336309,.0222855,33,.0035664,.0125151,.0467208
6,2,2,.2554459,.3427962,.3443834,.1297992,.6514717,.1478469,.4151556,.1203856,.7747336,-.9429356,-.4729319,-.2497884,-.0674668,1.411119,.3013478,-.0311067,.1204187,-.3870721,-.2751727,.0478542,.176164,.1082711,.0416203,33,.0066607,.0095007,.0354676
7,2,3,.2131021,.2307102,.5280564,.1517035,.6880405,.1164195,.4716985,.1622851,.7529215,-.8559241,-.2906103,-.1627769,-.0674668,1.695634,.2189056,-.0946705,.1337912,.0058977,.1052814,-.2482252,.1586467,.0786507,.0356413,33,.0057038,.005875,.0219323
8,2,4,.1172645,.2424043,.7253206,.0842065,.7479456,.1289464,.4843332,.0698913,.8322924,-.9057961,-.1475094,-.0674668,.1148548,2.065393,-.0321551,.0057546,.049951,.0054166,.0440563,.0059335,.0673223,.0847249,.1183383,33,.0189382,.0032287,.0120534
9,3,1,.295954,.3349391,.5160105,.1388216,.6491371,.132302,.408931,.1421051,.7701101,-.5269992,-.2497884,-.2497884,-.0029283,1.675331,-.0837414,.7785158,.6294578,.7219086,.5655448,1.074471,1.172481,.1188879,.0206031,33,.0032972,.0170659,.0637099
10,3,2,.1240102,.2888934,.8231123,.1070335,.7729713,.1565662,.6131389,.0869104,.8379046,-.760614,-.2704076,.012576,.2202153,2.277577,.0678992,.1591891,.2169495,.1073935,.161799,.218043,.2622853,.1076485,.1099521,33,.0175961,.0089272,.0333267
11,3,3,.0593483,.1794251,1.06553,.0964883,.8028831,.1357282,.5523967,.0879081,.8576539,-.2497884,-.0266448,.075634,.2892082,2.902376,.0593388,-.0740321,-.1397667,-.0558813,-.1316514,-.1242534,-.1769577,.0825901,.0908761,33,.0145433,.0048952,.0182744
12,3,4,.0423328,.1847193,1.375941,.091278,.8161111,.1623615,.5842011,.0751725,.8686553,-.2906103,-.0674668,.2202153,.4433588,3.9588,-.0010157,.1545569,.1603521,.1440289,.1308401,.141794,.2280965,.0864684,.2706613,33,.0433151,.0024764,.0092447
1,1,1,.1803059,.7557683,.3440731,.1652368,.4769912,.165667,.3999798,.1639056,.7153008,-.9837575,-.4729319,-.3551489,-.0674668,1.410682,.1968636,-.0691985,-.0952822,.007921,-.0341955,-.0987038,-.1228405,.1519477,.0163611,35,.0043659,.0269273,.1005242
2,1,2,.097394,.425628,.4663043,.1583323,.6159691,.1251347,.440017,.1829327,.7463553,-.9147646,-.403939,-.2497884,-.0266448,1.594092,.1834617,.0467808,.1297671,-.0828871,-.0282934,.0383457,.15166,.2288143,.0272427,35,.0072696,.0292025,.1090178
3,1,3,.06106,.3487053,.594504,.10244,.7026152,.1205161,.4416804,.0927621,.8423205,-.6270826,-.1627769,-.0674668,.0378937,1.812132,.1033751,.0588478,.1401837,.0453419,.135021,.0690075,.1182543,.2422983,.0369445,35,.0098585,.0176529,.0659015
4,1,4,.0730346,.2851196,.728447,.0791,.7702313,.1031944,.5106831,.0694903,.8737483,-.760614,-.3675714,-.1627769,.0866839,2.07186,.0683238,.0607257,.0319354,-.0287917,-.0335317,.1659078,.0644657,.187616,.1898139,35,.0506509,.0093982,.035085
5,2,1,.2611059,.6171975,.2996635,.1300383,.5938758,.1544787,.4937709,.0906329,.7552764,-1.117289,-.5782924,-.3234002,-.1082888,1.349405,.0335769,.0156921,.039428,-.1464129,-.0743119,.0944884,.083176,.1390083,.0542215,35,.0144687,.0292509,.1091987
6,2,2,.0650302,.3682634,.5666273,.1218219,.6899091,.1455448,.4751078,.107993,.815125,-.9147646,-.2906103,-.0674668,.0195445,1.762313,.2420725,.0514417,.1000678,.0071572,.0145556,.0382089,.1502515,.1524366,.0428432,35,.0114325,.0222055,.082897
7,2,3,.0263341,.2637354,.7919454,.1279025,.7242961,.1171829,.4644835,.1317423,.8173629,-.5782924,-.2299857,-.0674668,.1556768,2.207687,.0838278,.0617015,.0688454,-.0352379,.0413693,.2050123,.0303863,.115834,.0303783,35,.0081063,.0137313,.0512614
8,2,4,.0330838,.2470323,.9504195,.0735323,.8196046,.1031624,.602267,.0638113,.8909082,-.878397,-.2497884,-.0266448,.2892082,2.586795,.0020428,-.0024478,.1000364,-.0077356,.1008243,.0079184,.0976331,.1649453,.092594,35,.0247083,.0075464,.0281719
9,3,1,.0748478,.4097407,.5891298,.1192774,.7209964,.1431335,.5647613,.1027171,.8294503,-.760614,-.3551489,-.2497884,.0603665,1.802419,.0920304,-.0521261,.0339876,.014653,.0775746,-.1152985,.0119237,.1683147,.0459477,35,.0122609,.0398874,.1489065
10,3,2,.04158,.2898467,.9038935,.0842121,.8084767,.1179032,.6383856,.0704611,.8778988,-.3859206,-.0674668,.1556768,.3098274,2.469198,.0432904,.0019126,.057108,.0562263,.1197532,-.0386468,-.0081425,.2240925,.1419568,35,.0378805,.0208651,.0778931
11,3,3,.0164482,.2110467,1.240424,.0699128,.8514848,.1325363,.6420785,.0531609,.9075015,-.3551489,-.0674668,.1148548,.3968388,3.457078,.0338472,.0559814,.0820406,.0760506,.0848485,.0216547,.0825706,.1973775,.0943171,35,.0251681,.0114412,.0427121
12,3,4,.006933,.191074,1.711162,.0468432,.8883939,.0871122,.7088246,.0373313,.9308094,-.2906103,.1556768,.4025369,.6256804,5.53539,.0713785,.0604596,.1404215,.0123932,.0612052,.0742162,.2202494,.15616,.2273793,35,.0606751,.0057879,.0216072
1,1,1,.2874874,.5657142,.3114217,.1400712,.5923597,.1622135,.4516148,.1112278,.7756982,-1.348401,-.3551489,-.1728274,-.0674668,1.365365,.1110194,.1071962,.1476623,.2339315,.2695244,.0428094,.0991501,.2409642,.0297791,43,.0042665,.0211802,.0790694
2,1,2,.2034356,.3815176,.4096247,.0885035,.7282855,.117455,.5194219,.0706445,.8571252,-.7242464,-.2906103,-.1038344,.0195445,1.506252,.1309301,.0217599,.0301547,.1818101,.1114004,-.062593,-.0360707,.3108531,.0416329,43,.0059648,.0229698,.0857503
3,1,3,.1232856,.2681613,.5462153,.0920028,.7710879,.1335854,.5463138,.0767661,.8534499,-.5682421,-.1627769,-.0029283,.0995873,1.726706,.0720132,-.1308728,-.0938143,-.147348,-.0804249,-.1077294,-.1340009,.3227125,.0417486,43,.0059814,.0138853,.0518362
4,1,4,.1060349,.2360267,.6425154,.07646,.7787101,.111334,.5008792,.0656858,.8645449,-.760614,-.1852498,-.0674668,.1148548,1.901257,.0279013,-.0449879,-.0636759,-.1030833,-.1276262,.0253334,.0094594,.257187,.2327108,43,.0333407,.0073923,.0275969
5,2,1,.2691037,.4128603,.3335652,.0976866,.7148226,.1353656,.5134039,.0711918,.8564546,-.760614,-.2906103,-.0674668,-.0249072,1.395936,-.0063725,-.1669179,-.1388041,-.2935726,-.2447576,-.0934302,-.0813755,.2308271,.0534578,43,.0076589,.0230079,.0858926
6,2,2,.1271882,.2648234,.5309762,.0922155,.722017,.108867,.4495749,.0862174,.8201554,-1.079068,-.0674668,.0195445,.1512224,1.700592,.010806,.0748461,.036792,.1397061,.0681679,-.0276938,.0320816,.1635167,.0466058,43,.0066772,.0174662,.0652044
7,2,3,.1228561,.1620515,.6840338,.1073395,.7893094,.1515714,.5284975,.0987854,.8397481,-.5782924,-.2906103,.0278435,.2426882,1.981856,.1022319,-.0933296,.050326,-.064316,.0800427,-.2738385,-.0553269,.2555963,.032439,43,.0046476,.0108007,.0403207
