wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8911615,.9324456,-.3273674,.0966924,.3016896,.0985381,.2641043,.0712166,.8204748,-1.859226,-1.453761,-1.079068,-.760614,.7208189,.2180644,-.1654928,-.0786215,-.4995185,-.3390577,-.1505218,-.0895177,.2157388,.0342585,26,.0040896,.0220467,.0854921
2,1,2,.6371697,.5541644,-.0804648,.0825555,.5165396,.0749208,.3010516,.0920453,.7843868,-1.790233,-1.32023,-.9837575,-.6960755,.9226874,.200803,.1882723,.2287779,.1620566,.2113537,.1852135,.2065251,.2501675,.0548137,26,.0065434,.0302679,.1173719
3,1,3,.4877656,.4654018,.0927251,.1040681,.5777237,.1038541,.3192992,.1042543,.8026988,-1.676905,-1.166079,-.878397,-.5782924,1.09716,.0470147,-.0170229,.1698097,-.0586665,.1511583,.0543137,.1511191,.1933798,.0528211,26,.0063056,.0176882,.0685908
4,1,4,.4355171,.3446208,.2026312,.086212,.7061879,.0977143,.4660196,.0801637,.8324766,-1.763916,-.9837575,-.6960755,-.3859206,1.224621,-.0280066,.0028287,.0153756,.0099779,.0450815,.0216691,-.0088685,.1726137,.1945746,26,.0232275,.0094812,.0367659
5,2,1,.6003307,.8037297,-.0699295,.1055208,.5785836,.1150387,.5150496,.0665445,.8387558,-1.676905,-1.27144,-.9429356,-.6270826,.9324595,.1120526,-.0668365,.1340349,.0570839,.1698125,-.0825273,.1299949,.1386713,.0342935,26,.0040938,.0290964,.1128291
6,2,2,.5287616,.5156637,.0786086,.1090647,.5809829,.1032106,.3840554,.1152974,.7906477,-1.453761,-.9837575,-.801436,-.5194519,1.081781,.1362619,.0418822,.1609073,.0230731,.3048146,.1180332,.0784471,.1867653,.0481368,26,.0057464,.0233219,.090437
7,2,3,.3380751,.3348158,.2865917,.1024143,.7377557,.1388935,.5965843,.0840528,.8088133,-1.859226,-.9837575,-.760614,-.2906103,1.33188,.0131315,.0872261,-.0384483,.031392,-.0299936,.1743742,-.0575453,.2328916,.0329651,26,.0039352,.0189873,.0736284
8,2,4,.2713893,.2495442,.4191036,.0779603,.7561417,.1004699,.5178764,.0704754,.8353704,-1.676905,-.9429356,-.5782924,-.2497884,1.520598,.2437241,.1567346,.2191445,-.0182752,.0741102,.3165904,.2969904,.1831791,.090086,26,.0107541,.0079107,.0306758
9,3,1,.3258228,.5840002,.2979995,.1478828,.6307431,.1356707,.5103028,.1650268,.7998229,-1.676905,-1.166079,-.760614,-.2906103,1.347161,.4647578,.3576108,.1279133,-.1589912,-.2717766,.3654655,.1658099,.2070361,.023981,26,.0028627,.0427901,.1659304
10,3,2,.27355,.374168,.5039848,.0942483,.8012091,.1117433,.6868879,.0837885,.8695586,-1.166079,-.4729319,-.2497884,-.0674668,1.655304,.0434067,.0452356,.0280034,-.0687445,-.0632617,.1871649,.125628,.1559572,.1250786,26,.0149314,.0220027,.0853214
