wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7116774,.2325565,.0982345,.3946766,.1030599,.2300199,.0863239,.8011048,-1.275992,-.9474877,-.5420225,-.2543405,1.261822,.2591798,.3584284,.2159635,.3789433,.3591197,.5194162,.1042032,.4079286,.0139415,26,.0016743,.0345781,.0939504
2,1,2,.003263,.4018591,.4810527,.0864387,.6847285,.0952626,.4426449,.0805105,.8473716,-1.012026,-.5420225,-.1853476,-.031197,1.617777,.2219624,.1635558,.1995836,.1210394,.0883353,.0375281,.257012,.4517647,.0172824,26,.0020755,.029671,.0806174
3,1,3,.0048181,.2580702,.5851207,.0761658,.7243812,.1009759,.3579149,.067536,.8518515,-1.23517,-.3597011,-.100547,.1511246,1.795208,.0303867,-.0319109,-.0571944,-.0393866,-.0338819,.0121492,-.1457525,.3450195,.0201413,26,.0024188,.0150537,.0409016
4,1,4,.0038423,.2528567,.6374244,.0774458,.7199327,.1165071,.3658852,.0642262,.8397534,-.8421271,-.4084912,-.1365575,.1511246,1.891603,.1474659,-.0330045,.0195283,-.0556627,-.0277244,-.0221902,.0473452,.3464342,.1434629,26,.0172289,.0056238,.0152802
5,2,1,0,.6636625,.4559652,.0954084,.6013955,.0985174,.4590843,.0892737,.8822048,-.8421271,-.5420225,-.2055503,.0865861,1.577695,.2827162,.2497845,.1673314,-.1878413,-.0868073,.3396027,.0847666,.2443354,.0240604,26,.0028895,.0274574,.0746031
6,2,2,.0018358,.2412282,.5811145,.0735128,.7924842,.1182986,.5800438,.0592746,.8600231,-.7243441,-.1365575,-.031197,.0558145,1.78803,.2418943,.0037021,.1303009,-.0933629,.1221523,.0880582,.0479385,.4900961,.0247029,26,.0029666,.0321269,.0872904
7,2,3,.0120472,.2441302,.6672043,.0519065,.7334429,.031965,.3694376,.0583473,.8510091,-.3878719,.0865861,.187135,.3742682,1.948781,.0363899,-.0646775,.1365731,-.1530114,.009378,.1492735,.3435868,.4602798,.0236107,26,.0028355,.0153685,.041757
8,2,4,.0029396,.2177941,.7458705,.0551761,.789266,.0997333,.4420092,.0427698,.8859547,-1.052848,-.318879,-.031197,.187135,2.108276,.0014818,.0192039,-.0242575,-.0504293,-.0315365,.154953,-.0348185,.4658721,.082043,26,.0098528,.0071039,.0193017
9,3,1,0,.390444,.5864787,.0517633,.8138412,.0938647,.606152,.0247957,.9468741,-1.417491,-.5420225,-.1853476,.1511246,1.797647,.0891795,.0707982,.1990804,-.1105146,.1670029,.1775046,.2329937,.4354492,.0314809,26,.0037806,.038079,.1034626
10,3,2,.000427,.2274335,.818921,.0535663,.8530755,.1263724,.5985516,.0321331,.928004,-.5420225,-.1365575,.1511246,.4102785,2.268051,.1819657,.0429608,.0480708,-.0027299,-.013058,.0249136,.0199998,.3427701,.1265018,26,.015192,.0237556,.0645451
11,3,3,.0021368,.1482551,.9764851,.0435437,.8851869,.1028761,.624211,.0332163,.9306124,-.5420225,-.1365575,.1511246,.4102785,2.655107,.0094293,.0189063,.0519887,.0521208,.0170931,-.0748081,.1006332,.4677238,.1304851,26,.0156704,.014041,.0381502
12,3,4,.0011571,.1301305,1.145762,.0505567,.8735787,.0996866,.5983974,.0432069,.9147452,-.5420225,-.1112397,.1511246,.4102785,3.144837,.0513978,.0672558,.026194,.0652348,.0388693,.0761465,-.0231679,.3290955,.3622872,26,.0435083,.0047154,.0128119
1,1,1,.0598858,.8569593,.3018077,.1269926,.3165848,.1001468,.2505545,.2878263,.7121736,-1.121841,-.5420225,-.5420225,-.1647283,1.352301,.4616622,-.0379118,.1526777,0,.4523692,-.0409627,.057719,.1328362,.0126143,29,.0013309,.0298773,.081178
2,1,2,0,.4127834,.5270035,.0872087,.6408792,.159862,.2230899,.036137,.9345638,-.7243441,-.318879,-.1365575,.0558145,1.693849,.1999283,-.0415033,.0088935,-.0161032,.0601728,-.0615543,-.0794504,.0898036,.0151005,29,.0015933,.0256373,.0696577
3,1,3,0,.4106556,.591118,.1135489,.6298252,.1202239,.2746546,.1088978,.8773082,-1.23517,-.1365575,-.031197,.1511246,1.806006,.0047066,.4082688,.4749193,-.0434243,-.0397722,.2624153,.7278274,.2561104,.0155027,29,.0016357,.0130072,.0353411
4,1,4,.0013502,.2318434,.7439428,.0992161,.7653553,.1963471,.340177,.0699002,.8936818,-1.012026,-.1647283,-.031197,.3052753,2.104216,-.0116154,-.0072179,-.0263277,-.1199264,-.1145946,.0965982,.0451839,.2368611,.103181,29,.0108867,.0048593,.0132029
5,2,1,.0170132,.6405603,.5444489,.1384891,.6406176,.1510218,.5041344,.1161546,.8838454,-.5420225,-.4141892,-.1365575,.187135,1.723658,.4044932,.1986182,.1444931,.5538177,.5621936,.1819285,.1115849,.1250852,.0210969,29,.002226,.0237246,.064461
6,2,2,.0188821,.3220571,.557731,.1193607,.6709493,.1988841,.3974219,.081583,.8008887,-.5420225,-.072019,-.031197,.1919466,1.746705,-.0660104,-.0265361,-.0226321,-.0497612,.036286,.0460952,-.0680472,.1420306,.023766,29,.0025076,.0277594,.0754235
7,2,3,0,.1875431,.7126145,.0708401,.8233811,.1304451,.5295806,.0570812,.8912005,-.6373327,.0175933,.0865861,.4102785,2.039316,-.1504509,.1025281,.1646862,.1135323,.2203697,.0451261,.1331856,.2887203,.0207313,29,.0021874,.0132792,.0360802
8,2,4,0,.1889431,.8043551,.1040725,.7916939,.2105244,.4148467,.0792736,.8794838,-.7243441,-.031197,.1511246,.278958,2.235255,.2259146,.0883848,.0587031,.0848304,.0067562,.0063123,.1293675,.2922484,.0850457,29,.0089732,.0061381,.0166776
9,3,1,0,.2945788,.7141394,.1070629,.7942368,.222847,.5563321,.0587122,.8935841,-.9350651,-.1365575,.1511246,.187135,2.042428,-.3083653,.131018,.1215874,-.101457,-.0734708,.2099368,.1079272,.159439,.02,29,.0021102,.0329023,.0893971
10,3,2,0,.2422778,.8324571,.058132,.8654683,.0808435,.7115934,.0508701,.9146689,-.2796583,.1919466,.4102785,.5565897,2.298961,.0205265,-.0219234,-.0340286,.0352847,-.0362925,-.117686,-.0378306,.2509788,.1130165,29,.0119245,.0205261,.0557704
11,3,3,0,.1213562,1.04444,.061968,.8907281,.1143551,.708854,.0547324,.9158481,-.2318677,.1511246,.3742682,.49729,2.841808,.0556786,.0811414,.1407997,-.0092434,.0092501,.0933303,.3059395,.260583,.135649,29,.0143124,.0121322,.0329637
12,3,4,.0005595,.0924284,1.253836,.051913,.8947892,.1337739,.5722271,.0435762,.9276393,-.318879,.1850262,.3742682,.5413222,3.503757,.1379189,.0705956,.1338518,.0346634,.1273081,.1787935,.0262102,.1768518,.4342962,29,.045823,.0040743,.0110701
1,1,1,.0435275,.5341543,.5576183,.1024487,.5700781,.1203751,.3372559,.0818936,.8370398,-.9474877,-.5420225,.1511246,.3334461,1.746508,.0818559,.0728221,.0360183,.169524,.1397686,.0273122,-.0293741,.3362611,.0127773,31,.0027506,.0272343,.073997
2,1,2,0,.2198098,.7376,.090411,.724984,.1228625,.3230911,.0812682,.8382129,-.6373327,.2689076,.4102785,.49729,2.090911,.1408525,.114916,.059368,.0264674,.0088524,.4177538,.0643599,.6835384,.0155192,31,.0033409,.0233694,.0634957
