wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.7544675,.9241452,-.3816079,.1154974,.3317403,.1136173,.2960995,.1384026,.7659555,-1.859226,-1.453761,-1.166079,-.9837575,.6827627,.2475573,-.1256925,-.0977977,-.4797312,-.4454762,-.1256959,-.0927895,.2288076,.0358602,26,.0042848,.0247025,.094801
2,1,2,.6559486,.5836885,-.0999161,.0718373,.5643616,.0691344,.3814099,.0756268,.8208685,-1.607912,-1.166079,-.9837575,-.6736026,.9049133,.2149974,.1372874,.076841,.1583481,.1287118,.122333,.0430073,.1897524,.0560075,26,.0066922,.0220785,.0847307
3,1,3,.5403574,.458762,.1062103,.1101017,.5822816,.118507,.3416046,.1029772,.7862834,-1.676905,-1.186698,-.9837575,-.5782924,1.112056,.1568798,.1685724,.1833149,.0564181,.087272,.2616817,.2093719,.2521556,.0524809,26,.0062708,.014653,.056234
4,1,4,.4333063,.3415107,.2198537,.0857829,.7057104,.1007948,.4549775,.0779973,.8357473,-1.859226,-1.097086,-.760614,-.403939,1.245894,-.020181,-.0136908,-.0079969,-.0607011,-.0143468,.0735218,-.0176449,.1721063,.1933378,26,.0231014,.0080401,.0308557
5,2,1,.5765097,.7833608,-.0822337,.134489,.5458196,.1455602,.4591236,.0944559,.8593097,-1.559122,-1.206901,-.9429356,-.6270826,.9210566,.0188508,.096063,.0994251,.1599796,.108011,.085054,.1043906,.1338612,.0347428,26,.0041513,.0280701,.1077247
6,2,2,.5287749,.4380654,.0869817,.0726471,.6820073,.0793481,.5388982,.0674232,.7935704,-1.676905,-1.079068,-.9429356,-.5782924,1.090877,.0956493,.0310216,.0616002,.1033768,.0996334,-.0050244,.0258241,.1849939,.0447292,26,.0053446,.0221724,.0850912
7,2,3,.3536171,.3493944,.2362176,.1265824,.7192882,.1332213,.6382478,.1230171,.7628092,-1.859226,-.9837575,-.5782924,-.2906103,1.26645,.1023942,.0891615,-.0127938,.0951765,.0344836,.0977933,-.0879093,.1975877,.0358602,26,.0042848,.0172434,.0661751
8,2,4,.3129087,.2556941,.3995911,.0926551,.7342767,.1393046,.4642522,.0766294,.8270392,-1.676905,-.760614,-.5374704,-.2497884,1.491215,.0890096,.0562774,.1554138,-.0487517,.027886,.1165578,.3091811,.2345426,.0926359,26,.0110688,.0080016,.0307079
9,3,1,.4221723,.6443755,.3160597,.1312338,.6108537,.1273843,.5207297,.138209,.7741544,-1.079068,-.760614,-.4241417,-.1444278,1.371712,.4982577,.1780821,.0244038,.1807267,-.1362305,.1535116,.1180877,.1447182,.0221726,26,.0026493,.0336481,.1291316
10,3,2,.3159622,.4107113,.4719037,.0847561,.8068243,.1034769,.6969811,.0717084,.8833808,-1.097086,-.5374704,-.2906103,-.0674668,1.603043,.0662687,.054222,.0531114,.0048564,.0111243,.0927337,.065619,.1684393,.1246203,26,.0148906,.0189718,.0728084
11,3,3,.2106763,.2470789,.7041567,.080886,.79835,.0994058,.5805501,.0748086,.8698233,-1.137908,-.5782924,-.3394006,-.0266448,2.022141,.2355213,.2055952,.1850847,.106884,.1346031,.3672572,.1860491,.2008394,.0979783,26,.0117072,.0091378,.0350681
12,3,4,.1058959,.2277708,1.036436,.0772914,.8445233,.1492086,.6183957,.0560792,.9112201,-1.32023,-.4982497,-.1852498,.1148548,2.819153,.0224997,.0002381,.151151,.0657705,.178009,-.0661195,.1386711,.1623297,.2095744,26,.0250415,.0051155,.0196319
1,1,1,.70293,.8306339,-.2572706,.1293133,.3497094,.1381837,.3101891,.0858098,.5435316,-1.859226,-1.166079,-1.166079,-.9837575,.773159,.2837492,.3373353,.0478972,.1267485,-.0994234,.351932,.0604884,.0957805,.0316171,29,.0040429,.0185467,.071177
2,1,2,.6800504,.619836,-.0190057,.0986882,.5395321,.1115096,.3572857,.0777837,.8366746,-1.676905,-1.166079,-.8559241,-.5782924,.9811738,.1217412,.0374947,.0906795,.1245045,.1868187,.0584235,.0497898,.1014393,.0517163,29,.0066129,.0165766,.0636161
