wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.833754,.899849,-.317517,.1183596,.3120888,.1179464,.2551993,.1220726,.8232366,-1.859226,-1.453761,-1.166079,-.8502261,.7279543,.3499976,-.0093019,.0410147,-.2088131,-.1487685,.0011414,.0266689,.2616851,.0333874,26,.0039445,.0242895,.095953
2,1,2,.6247659,.5881312,-.0891471,.0838132,.5463334,.0789457,.3564624,.0907639,.8174611,-1.676905,-1.389223,-.9837575,-.6736026,.9147111,.1149879,-.0323432,-.0520903,-.0009032,.0603048,.0144445,-.1262892,.2613761,.0502576,26,.0059376,.0243676,.0962617
3,1,3,.5071817,.4811351,.0871314,.1126454,.5774632,.1342481,.3071221,.0926135,.828146,-1.676905,-1.166079,-.878397,-.5137539,1.09104,.1586044,.0699154,.2057992,.0237951,.1545317,.082421,.1804409,.2667072,.0520929,26,.0061545,.014955,.0590782
4,1,4,.4267798,.3383734,.2096927,.0832422,.7116318,.0893608,.4548713,.0801129,.8429459,-1.859226,-1.097086,-.760614,-.4729319,1.233299,.1131184,.0316809,-.0077265,.081037,.0384638,-.0173647,-.0425541,.1656505,.2013482,26,.0237881,.0083801,.0331047
5,2,1,.5361704,.7835777,-.0611729,.1049925,.5668229,.1098473,.4898536,.0874151,.8454979,-1.636083,-1.27144,-.9837575,-.6270826,.9406606,.04693,-.0063299,.1947109,.0100601,.1638585,-.0225352,.2065042,.1476208,.0346933,26,.0040988,.029043,.1147315
6,2,2,.4924182,.4345009,.1253362,.0918841,.6479604,.0974774,.4442787,.0875865,.8044591,-1.676905,-.9837575,-.801436,-.4729319,1.133529,-.0832633,.0695079,.0304853,.0458076,.055671,.0800515,.0006488,.1888032,.0408343,26,.0048243,.0276348,.1091684
7,2,3,.4010854,.2798334,.2666373,.0962806,.7619734,.0995535,.5878191,.0950089,.8296441,-1.859226,-.8167034,-.4241417,-.2497884,1.305567,.0927687,.0390065,.0721362,-.0855577,.0146986,.2748222,.113688,.1178864,.0327875,26,.0038736,.0167612,.0662132
8,2,4,.3117516,.2895815,.422786,.0870163,.74823,.1348015,.5109277,.067538,.8449594,-1.676905,-.760614,-.4729319,-.0674668,1.526208,.0879246,.0305211,.1492971,-.0413085,.0965873,.1014727,.1838483,.1603984,.090739,26,.0107203,.0080939,.0319739
9,3,1,.3861127,.5591948,.2544768,.154759,.6151308,.114193,.5278843,.20622,.7258095,-1.676905,-.8559241,-.5782924,-.2906103,1.289787,.4230853,.3961094,.5878037,.0721763,-.1587424,.1544818,.6948546,.1554327,.0208936,26,.0024685,.0380062,.1501396
10,3,2,.2972609,.3710279,.496203,.0835029,.8053109,.1027957,.6896571,.0721222,.8735346,-1.453761,-.5782924,-.2497884,-.0674668,1.642473,.0530843,.0493336,.0480816,-.0506314,-.0291759,.1515446,.1100474,.1713492,.1288911,26,.0152277,.0206952,.0817541
11,3,3,.2137277,.257669,.703156,.0923936,.7755849,.109099,.5793816,.086595,.8436887,-.760614,-.4729319,-.2497884,-.0029283,2.020118,.2843424,.1784816,.0927426,.0653179,.0256035,.3834417,.1522596,.1651716,.1000918,26,.0118252,.0091151,.0360082
12,3,4,.1127722,.2168143,1.024881,.0712233,.8454733,.1082155,.6454184,.0609825,.9008558,-1.166079,-.3551489,-.1082888,.1148548,2.786764,.0994389,-.0514928,.1006216,.0162988,.1764239,-.1454846,-.0047329,.1284365,.2139832,26,.0252808,.0044367,.0175267
