wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7471831,.2613755,.0830714,.4690114,.0903132,.3139579,.0616687,.9272615,-1.275992,-.8297046,-.5420225,-.1757781,1.298715,.2205051,.0978524,.2106913,.173199,.3192199,.1374281,.1705617,.128696,.0137769,26,.001628,.0335288,.0911061
2,1,2,.0156385,.4302633,.4967618,.1148685,.6391445,.1203412,.3829105,.1107355,.8326516,-.8297046,-.5420225,-.1365575,.1511246,1.643391,.1303553,.0327244,.1014791,-.0247492,.0233531,.1053082,.1223614,.4236004,.0178577,26,.0021102,.0256089,.0695859
3,1,3,.0188696,.2908166,.6023546,.080864,.6985845,.0768515,.3859854,.0825094,.8267727,-.6598055,-.2055503,-.031197,.1511246,1.826414,.1314332,.0093445,.0391318,-.0657944,-.0308546,.1398648,.1249191,.1054781,.0181189,26,.0021411,.0137052,.0372404
4,1,4,.0042244,.2342817,.6531963,.0672867,.7336215,.1107808,.3462173,.0539791,.8521529,-.8297046,-.5420225,-.1365575,.1511246,1.921673,.1128178,.0292291,.0302036,.0119165,.0203287,.0695528,.0003162,.4372774,.1483791,26,.0175336,.0050342,.0136792
5,2,1,0,.6789821,.4388605,.1288107,.5704237,.1692159,.42248,.0433501,.883338,-.9474877,-.5420225,-.3597011,-.031197,1.550939,.2245812,.1010664,.1915518,-.4314766,-.4047234,.2405694,.2746249,.328083,.0235382,26,.0027815,.0284032,.0771786
6,2,2,0,.3291701,.5689052,.0828931,.7279943,.1339467,.4495997,.0578415,.8646,-1.33048,-.2543405,.0175933,.0558145,1.766332,.2283107,-.0001042,.1319813,-.1256038,.1175204,.0891221,.0698675,.3554156,.0248441,26,.0029358,.0316482,.085996
7,2,3,.0126418,.240148,.6839164,.0307075,.7712361,.0269399,.4002186,.0318982,.8884946,-.2543405,.061972,.1511246,.3694566,1.981623,.1404922,.0218246,.1242126,-.0491705,.0273444,-.1932713,.2293403,.1994629,.0207306,26,.0024497,.0137938,.0374812
8,2,4,.0023545,.2181272,.7317715,.0712616,.767041,.1637633,.3821098,.0454555,.8744293,-.5420225,-.2318677,-.031197,.1511246,2.07876,-.0188053,-.0617051,-.000732,-.0705389,-.0082738,-.0521364,.0195516,.4016474,.0860893,26,.0101729,.0063091,.0171434
9,3,1,0,.3869274,.607542,.0524878,.8366566,.1051354,.677616,.0192604,.9370316,-1.148158,-.2543405,-.031197,.2762878,1.835913,.1495473,.088328,.0671775,.0593588,.0660617,.1910817,.1475118,.3144218,.0318958,26,.003769,.0320446,.0870732
10,3,2,.0004407,.2172328,.7994487,.0688326,.8415032,.1442878,.6137806,.0478924,.9047005,-.6598055,.0329844,.1511246,.4102785,2.224314,.0978222,.0562543,.0594118,-.0393009,-.0242898,.1558942,.1283502,.3086119,.1232085,26,.0145592,.0164252,.0446313
11,3,3,.0023657,.1324492,1.007893,.0476835,.8917567,.100381,.6435393,.0396382,.9296521,-.5420225,-.1365575,.0641132,.3742682,2.739823,.0892947,.1011111,.1053927,.1582014,.1010153,-.0327552,.0903957,.3655924,.1340146,26,.0158362,.0111593,.0303225
