wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.6849321,.3205071,.086961,.4825909,.0924973,.2977535,.0749257,.8844122,-1.101638,-.7243441,-.318879,-.072019,1.377826,.3745131,.2620471,.2350879,.0808792,.1170106,.3461626,.1842409,.4069103,.0120128,26,.0014366,.0301161,.0788164
2,1,2,.0158636,.4639339,.4416481,.0995279,.5974473,.1344423,.2861383,.0693115,.8668671,-1.072651,-.7243441,-.5420225,-.031197,1.555268,.2913566,.1171221,.23187,.0559333,.0103356,.0688747,.2931997,.4612168,.0189557,26,.0022669,.0238147,.062325
3,1,3,.0150735,.2664407,.5856358,.0680316,.71983,.0636863,.3486714,.0696099,.8546408,-1.23517,-.4619798,-.2055503,.1225965,1.796133,.1836146,.0974263,.054176,.0528925,-.0003425,.3319389,.2015984,.2492611,.0198599,26,.002375,.0113999,.0298344
4,1,4,.0046842,.2435055,.6551649,.0759227,.7408156,.1234235,.3685965,.0606329,.860628,-.7243441,-.3597011,-.1365575,.1511246,1.92546,.0855804,.050799,.0332405,.0502596,.022165,.0386852,.0243789,.3614555,.1397617,26,.0167138,.0047311,.0123818
5,2,1,0,.6912673,.4045861,.1391835,.5404548,.1442128,.4071728,.1279228,.8388796,-1.23517,-.5420225,-.318879,-.031197,1.498682,.1084459,.4309501,.3078337,-.0455793,.0404365,.4947039,.2626655,.356238,.025511,26,.0030508,.0283024,.0740697
6,2,2,.0067132,.3285076,.5639586,.0765615,.7524531,.1205981,.4599445,.0550178,.8955542,-.5420225,-.2543405,-.031197,.0615125,1.757616,.1079676,.0193288,.139882,.0272776,.2482594,.0438223,.0293493,.2856996,.0248975,26,.0029774,.0265291,.0694288
7,2,3,0,.2845047,.6841224,.0502471,.7122825,.0796104,.405918,.0385713,.8341032,-.1365575,.0918249,.187135,.3742682,1.982032,.0983632,.344784,.196592,.1257044,.0900187,.6007406,.3040427,.5045131,.0218943,26,.0026183,.0170335,.044578
8,2,4,.0035526,.2071807,.7671289,.0668082,.781808,.1448537,.3884885,.0464133,.8845909,-.7243441,-.1365575,.0865861,.2464348,2.153574,-.0341966,.0065263,-.0108201,-.086248,-.0519877,.1441685,.0329469,.4325382,.0844447,26,.0100986,.0058509,.0153124
9,3,1,0,.434747,.563152,.0653567,.7732832,.0907645,.5921433,.0458151,.9126015,-1.417491,-.6373327,-.2318677,.1511246,1.756199,.2395568,-.0278606,-.018705,-.0415457,-.0107803,-.0121287,.0488398,.3409332,.0299674,26,.0035837,.0422112,.1104701
10,3,2,.0004224,.2227375,.8146541,.0490083,.8705229,.110537,.6365963,.0313763,.9375585,-.6598055,.0333417,.1511246,.4102785,2.258394,.0759078,.1146344,.0765128,.0632875,-.0178444,.0735355,.1595885,.3954326,.1263603,26,.0151111,.0157284,.0411625
11,3,3,.002154,.1325829,.9827878,.0455992,.8918419,.0917755,.6536396,.0385412,.9282507,-.6598055,-.072019,.1511246,.4102785,2.671895,.0328143,-.0162287,-.0067931,.0754132,.0366582,-.1761647,-.0793762,.3859111,.1366939,26,.0163469,.0114082,.0298561
12,3,4,.0010713,.1347948,1.146406,.0495552,.8782659,.1203462,.5904799,.0385263,.9231015,-.6373327,-.1365575,.1511246,.4102785,3.146863,.0990683,.0450663,.0927309,.0462551,.0878791,.0351573,.0720503,.2660797,.3596409,26,.0430086,.0043698,.0114361
1,1,1,.0334151,.7871723,.3087272,.1814141,.2904559,.1334274,.2164879,.3588994,.564037,-.9193168,-.7243441,-.318879,-.1853476,1.361691,.4895322,.2842119,.2590033,.8991168,.610124,.1603699,.1004959,.2419473,.0137314,29,.0014404,.027278,.0713888
2,1,2,0,.3396867,.5950036,.1182655,.6909189,.2162755,.2844381,.0678459,.9000258,-.3878719,.0377959,.1511246,.2689076,1.813038,.1883564,-.1188097,-.0857766,.089016,.1781291,-.1277755,-.2083677,.2427112,.0153512,29,.0016104,.0215704,.0564516
3,1,3,0,.3903541,.576614,.1163435,.5977087,.0839832,.2246121,.1370637,.8366011,-.1365575,-.1365575,.0045211,.0558145,1.780001,.0368237,.13887,.2573759,.2154452,.3644874,.1720097,.2464018,.409047,.0165292,29,.0017339,.0103255,.0270228
4,1,4,.0024763,.238687,.7325391,.0773906,.7722125,.1729249,.3301021,.0474387,.910823,-1.012026,-.1365575,.0558145,.3136435,2.080356,.1029527,.0340454,.1008914,-.0314306,.0144808,.061257,.136439,.1391076,.1007584,29,.0105697,.0042853,.0112149
5,2,1,.0174496,.6688712,.5879958,.1326712,.6523724,.1328507,.5457773,.1323086,.8676914,-.7651661,-.5420225,-.031197,.1511246,1.800376,.11955,.1675414,.1611885,.2439511,.2262891,.1579346,.1508781,.2540979,.0213518,29,.0022398,.0256352,.0670895
6,2,2,0,.3394249,.6665794,.1557423,.6680527,.2153771,.4192146,.1251,.7959138,-.5420225,-.031197,.1511246,.1919466,1.947564,-.0141103,-.127192,-.0717722,-.0957561,-.0671389,-.1620012,-.0674864,.1212266,.0244441,29,.0025642,.024029,.0628859
7,2,3,0,.2047928,.6836923,.1258147,.7559123,.3201647,.2905271,.0757631,.8757647,-.6373327,-.4907293,-.318879,.3136435,1.981179,.0748903,.23542,.2832824,.3550194,.3501771,.1016131,.2653566,.1519706,.0194375,29,.002039,.0154282,.040377
8,2,4,0,.1717273,.8519491,.1034362,.7792097,.2005006,.4072733,.0833117,.8563238,-.3597011,.0558145,.1511246,.284656,2.344212,.0821082,.1088552,.0891787,.1286732,.0444279,-.0056368,.2518919,.2698288,.0928067,29,.0097355,.0052995,.0138693
