wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.810013,.9370565,-.2776104,.0996374,.3767608,.0968703,.3463746,.1408322,.8291287,-1.859226,-1.453761,-1.123519,-.878397,.7575919,.5222348,-.0602573,.0128057,.3148776,.2388747,-.0977863,.0127293,.1626332,.0314952,26,.0037332,.0243212,.0958967
2,1,2,.5979101,.5690321,-.0377484,.0959812,.5600165,.0960913,.3532939,.0958357,.8329644,-1.725695,-1.166079,-.9147646,-.5782924,.9629552,.1006433,.1278874,.0889365,.066275,.0770056,.1552068,.07548,.2207021,.0512892,26,.0060794,.0216108,.08521
3,1,3,.4935431,.4663758,.0976547,.1119706,.5835665,.1345827,.3114288,.0922081,.821409,-1.676905,-1.389223,-.9837575,-.5374704,1.102582,.0982511,.0880356,.1576492,-.0346547,.0710971,.1613265,.1699027,.1814126,.0507287,26,.0060129,.0150299,.0592618
4,1,4,.4628917,.3483459,.1908779,.0887361,.6994992,.1074736,.4599026,.0787199,.8275772,-1.825325,-1.097086,-.760614,-.4729319,1.210312,-.0104325,.0278414,.061673,-.0188207,.046954,.1056352,.068478,.1646804,.2003573,26,.0237486,.0075961,.0299511
5,2,1,.6517808,.7464832,-.0470971,.1031388,.5852683,.1048147,.4949051,.098204,.851344,-1.559122,-1.27144,-.9429356,-.5782924,.9539948,.0707024,.0898074,.1641402,.0341246,.0313154,.0752202,.1706721,.1547209,.0383618,26,.0045471,.024393,.09618
6,2,2,.5053574,.3882699,.1393308,.0960344,.6442878,.0951589,.3969317,.09659,.8012866,-1.676905,-1.166079,-.801436,-.5194519,1.149504,-.0274379,.2618864,.1639737,.2081447,.1790247,.4259846,.1323494,.1333877,.0425659,26,.0050454,.0240989,.0950203
7,2,3,.3846652,.2905633,.2721377,.0978549,.7557863,.0958183,.6555154,.0986891,.7968542,-2.08237,-.8659745,-.6736026,-.2906103,1.312768,.100456,-.0479209,.0392552,-.1216855,.0028164,.1227476,.2091287,.1941218,.0330367,26,.0039159,.0133076,.0524708
8,2,4,.2828626,.2860131,.4367526,.0825321,.7387474,.1018286,.534055,.0748022,.8207442,-1.676905,-.760614,-.403939,-.0674668,1.547673,.038246,.129483,.076836,.0307499,.0130181,.2513514,.1463642,.1752704,.089546,26,.010614,.0069097,.0272443
9,3,1,.3564403,.5171475,.3272245,.1130037,.6817077,.1138239,.5550141,.1121253,.8173997,-1.676905,-.760614,-.4729319,-.0674668,1.387113,.5435185,.5843602,.0010299,.3499132,-.2533517,.8715522,.0201079,.1630922,.022912,26,.0027158,.0296345,.1168466
10,3,2,.2911749,.406491,.4749885,.0962859,.7913991,.111404,.6791756,.0859317,.8682603,-1.32023,-.5782924,-.2497884,-.0674668,1.607996,.0758995,.0769075,.112172,-.0574643,-.0591785,.13408,.2149816,.1540145,.1269269,26,.0150448,.0192434,.0758754
11,3,3,.2216388,.2456063,.6762549,.0818812,.8023186,.1192132,.597171,.069727,.8691081,-1.32023,-.4729319,-.1627769,.0195445,1.966499,.2098999,.092569,.0316269,.0073701,.002559,.2773775,.0449713,.1833454,.0972183,26,.0115234,.0097245,.0383432
12,3,4,.1218604,.2247375,.9961581,.0788958,.8251979,.106087,.6372255,.0710134,.8796885,-1.27144,-.5374704,-.0674668,.0866839,2.707859,.0366365,.0685524,.1565721,.1170053,.190469,-.0146497,.1270998,.1633748,.2155619,26,.0255508,.0045677,.0180101
1,1,1,.4681929,.7893205,-.1735506,.1133297,.3862675,.1228234,.3332993,.0777613,.5847154,-2.013377,-1.636083,-1.166079,-.8559241,.8406746,-.0139688,-.0245976,-.0466952,.0828948,-.0195883,-.055241,-.0457091,.0810642,.027867,29,.0035297,.0176964,.0697759
2,1,2,.5755076,.6048387,-.0040575,.0847813,.6039568,.099074,.4099979,.0629049,.9008325,-1.453761,-1.212599,-.9429356,-.5935599,.9959508,.154397,-.1187011,-.0843813,-.1258764,-.1392014,-.1051125,-.1130548,.083934,.0477674,29,.0060503,.0157243,.062
3,1,3,.5319463,.3324834,.1922589,.1423878,.6771174,.133946,.44934,.1465926,.7905711,-1.502551,-.6960755,-.5137539,-.3551489,1.211984,.0282838,.0412029,-.0046085,.0752437,.0884562,.2716864,-.2088435,.0651432,.0407514,29,.0051617,.010936,.0431198
4,1,4,.3719018,.3043337,.3204474,.0911805,.7326293,.1153714,.4705314,.0805976,.8472895,-1.27144,-.760614,-.5374704,-.1852498,1.377744,.0090868,.0345382,.0401358,.0355285,.0304255,.0235205,.0487393,.0567435,.1728083,29,.0218883,.0055271,.0217928
5,2,1,.6295772,.7303787,-.0629321,.1028171,.5861,.1120315,.4872074,.0778561,.853991,-1.453761,-1.097086,-.9837575,-.760614,.9390072,.0361959,-.0459574,.2203543,-.152889,.0509264,-.0456061,.2311449,.0596338,.0386532,29,.0048959,.0177487,.0699819
6,2,2,.5270032,.4762248,.1640546,.0967229,.6621953,.1078297,.5439709,.0866245,.7696869,-1.453761,-.9837575,-.5782924,-.2497884,1.178279,.1533785,.0942921,.0272923,.3044406,.0325749,-.0533923,.0826063,.0663576,.0530129,29,.0067147,.0175347,.0691381
7,2,3,.3616842,.2256733,.316563,.1508044,.6952602,.247595,.4461436,.1225953,.7678638,-1.964587,-1.389223,-.9429356,-.2216175,1.372403,-.1194608,.1750332,.3508836,.5463152,.7397144,-.0026368,-.1108184,.0772242,.0295063,29,.0037373,.0096828,.0381785
8,2,4,.2513576,.1966043,.501601,.0708186,.7971141,.1172836,.4863687,.0594479,.8731586,-.7140939,-.3776217,-.3551489,-.0674668,1.651363,.0901281,.021626,-.0358724,-.0472548,-.067404,.100301,-.0281908,.0899017,.0955019,29,.0120965,.0050276,.0198234
9,3,1,.3763309,.3515836,.2777917,.1082926,.680245,.1021412,.5399948,.111628,.7562912,-1.859226,-.8167034,-.3551489,-.0674668,1.320211,.1185034,1.023824,1.406966,.9386116,1.404708,1.061935,1.243538,.0273364,.0237361,29,.0030065,.0215625,.0850193
10,3,2,.2724876,.3043249,.5417628,.0873541,.7860848,.1283873,.6010047,.0694039,.8670487,-.801436,-.5782924,-.3551489,-.0674668,1.719034,.1207384,-.0222738,.0813052,.0179403,.0725491,-.0956377,.0464392,.0624911,.1179267,29,.0149368,.0140018,.055208
11,3,3,.2084141,.1976988,.8228983,.0733473,.8587428,.1174191,.7249148,.0624873,.89172,-.7983543,-.0880861,-.0674668,.1148548,2.27709,.1139198,.0376096,.0413133,.0874938,.0940822,-.0905901,-.1247005,.0820943,.0957642,29,.0121297,.0070757,.027899
12,3,4,.1198244,.151581,1.159552,.0658432,.8684028,.0962402,.7287307,.0604124,.893357,-.878397,-.5300903,-.1728274,.012576,3.188504,.0887271,.0975941,.1009889,.1016064,.1206882,.1100312,.0196998,.0585872,.2567045,29,.0325147,.0033235,.0131044
1,1,1,.6365891,.7087774,.0126212,.0813811,.4055538,.0818977,.2448382,.0801238,.7967033,-1.27144,-.8559241,-.5782924,-.2906103,1.012701,.0487112,.1354731,.1403581,.1866357,.129303,.0885741,.1493405,.2251098,.0213097,31,.0039283,.0259288,.1022356
2,1,2,.3453768,.3843068,.2531723,.1091963,.6221521,.1393134,.2469909,.0903977,.8563223,-1.453761,-.9429356,-.4949108,-.2497884,1.288105,.0548788,.0364123,-.0018691,-.1256419,-.0942167,.1301954,.0245518,.2649268,.0390152,31,.0071923,.0230393,.0908424
3,1,3,.3088717,.2668243,.3617206,.1106282,.6689497,.1585101,.3097974,.0932026,.7996558,-1.27144,-.5782924,-.4729319,-.2072287,1.435798,.0482803,.0205939,-.0119903,-.054142,-.0756632,.1337148,.0720625,.3417162,.0480256,31,.0088533,.0160234,.0631791
