wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7445441,.3139054,.1384943,.3750893,.1504299,.2171534,.1037072,.8354044,-1.101638,-.8784948,-.5908127,-.1520616,1.36876,.4613672,.4936123,.1429003,.2378145,.0767941,1.070508,.0925155,.5652956,.011141,26,.0013147,.0444118,.1041608
2,1,2,.0106517,.4723626,.4785676,.1343042,.6202951,.1207983,.4097236,.1463952,.8088073,-.8297046,-.5420225,-.4084912,.0175933,1.613761,.1081296,.0176457,.1100119,.0037842,.0217554,-.1085098,.128774,.4699803,.0207091,26,.0024437,.03515,.0824389
3,1,3,.0072425,.2345351,.5734687,.0696444,.741076,.066618,.3916728,.0705717,.8481317,-1.571642,-.6373327,-.1365575,.1511246,1.774411,.1064707,-.0187727,-.0183053,-.0040594,.004431,-.05023,-.148027,.0912528,.0208402,26,.0024592,.0141816,.0332606
4,1,4,.0049232,.2236418,.6455562,.0733868,.7336214,.1204109,.3441665,.0598408,.8458098,-.7651661,-.5012006,-.2543405,.0558145,1.907048,.1901579,-.0164507,.0299835,-.0331301,-.0056349,.0107494,.03144,.3781053,.1441772,26,.0170134,.0065176,.015286
5,2,1,0,.6733414,.4847586,.1135489,.57213,.11347,.4410865,.1137114,.8422499,-.9474877,-.3597011,-.1853476,.0821318,1.623783,.4356334,.296982,.3358572,-.1770431,-.078122,.3694264,.3237542,.4808415,.0255915,26,.0030199,.0347438,.0814861
6,2,2,.001908,.2627169,.5864,.0913539,.7522602,.1521453,.3815635,.0696921,.884351,-.7243441,-.4619798,-.1365575,.0558145,1.797506,.1567419,.010746,.1894166,-.0832656,.1696367,.0439312,.0708995,.3662409,.024805,26,.0029271,.0381734,.0895297
7,2,3,.0174363,.240038,.6715697,.0476679,.7887009,.0670046,.5187972,.0415603,.8739514,-.2543405,-.2543405,.1511246,.3694566,1.957307,.1591841,.0793549,.144373,-.041266,.0850293,.5723487,.1885524,.3137155,.0221509,26,.0026139,.0159389,.0373822
8,2,4,.0052605,.1927775,.7313511,.0614046,.7838618,.1315178,.421533,.0446604,.8703917,-.7651661,-.318879,.0457641,.1511246,2.077886,-.0832025,-.014091,.0157151,-.0327361,-.00874,.0240531,.1173345,.4955205,.0841143,26,.0099258,.0064185,.0150535
9,3,1,0,.4143097,.5818616,.0636478,.7881448,.0967235,.6233916,.0402505,.9046891,-1.417491,-.6373327,-.2318677,.1511246,1.789366,.2354028,.2895903,.4272677,.0257542,.0680673,.6586233,.9529587,.492359,.0289665,26,.0034182,.0411676,.0965522
10,3,2,.00182,.2223286,.7904143,.0553306,.8463975,.1139751,.6038944,.0385647,.9157268,-.6373327,-.1112397,.1511246,.3742682,2.204309,.0587235,-.0980934,.0081463,.0113942,.0483677,-.225812,-.0281584,.3956562,.1191428,26,.0140593,.0180571,.04235
11,3,3,.0019057,.1495216,.9796313,.0526133,.8864889,.1106972,.6283848,.0424016,.9318659,-.5420225,-.1365575,.0821318,.3742682,2.663474,.0788308,.050867,.0498313,.123997,.0649371,-.1487569,-.0000814,.3851262,.1310374,26,.0154629,.0137924,.0323479
12,3,4,.0010447,.1226321,1.145176,.0471179,.877656,.1334741,.5572648,.0350476,.9224379,-.4084912,-.031197,.187135,.4102785,3.142995,.1050456,.0009557,.0500362,.0318476,.0658225,-.0622282,-.0122262,.2647375,.3673242,26,.0433456,.0052902,.0124074
1,1,1,.0245531,.8290732,.2440653,.1707826,.2343113,.162269,.1640407,.212077,.5751554,-1.012026,-.7651661,-.5420225,-.2318677,1.276428,.2194938,-.0667807,.2979648,.1149004,.5555309,-.0987049,.200527,.2803138,.0124899,29,.0013108,.040905,.0959363
2,1,2,0,.3891423,.4994876,.0954337,.6132764,.1389822,.1839537,.0676915,.8867732,-.7243441,-.3878719,-.318879,-.1365575,1.647877,.341705,-.010984,-.0180198,.0701551,.0632799,-.0190159,-.1144053,.2597628,.0154742,29,.001624,.0323746,.0759295
3,1,3,0,.3611967,.5905995,.0984507,.700991,.1286325,.3745363,.081385,.8855774,-1.23517,-.1365575,-.031197,.2311673,1.80507,.1787759,.2829525,.4956668,.0459076,.168273,.4608498,.6399083,.4673707,.0137057,29,.0014384,.0130618,.0306344
