wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7486737,.2861519,.077001,.4540641,.0874385,.2963078,.0459085,.9240034,-1.275992,-.8297046,-.5420225,-.1853476,1.331295,.228892,.3704852,.2268343,-.103676,-.2445057,.4815262,.2250976,.3747905,.0141535,26,.0016807,.0346553,.095534
2,1,2,.0182922,.4436818,.4708061,.1071281,.6004946,.1535136,.2740166,.0701342,.8608713,-1.012026,-.5420225,-.1365575,-.031197,1.601284,.2131784,-.0194151,.0981972,.0292844,.1314294,-.0876056,-.0440285,.5786563,.0180166,26,.0021394,.0310055,.0854727
3,1,3,.0102212,.3032277,.5796788,.080686,.6763018,.0721412,.3144002,.0844047,.8337975,-1.571642,-.2055503,-.031197,.1511246,1.785465,.1723784,.0180038,-.0297323,.0156459,-.0463346,.0260464,-.0176289,.2923961,.0205161,26,.0024362,.017062,.0470346
4,1,4,.0049698,.2508841,.6369548,.0807434,.7340864,.1137713,.3905436,.0696822,.8491412,-.7243441,-.3597011,-.1365575,.1511246,1.890715,.1481905,.1041035,.0942391,.0709269,.0738231,.1569067,.0841199,.4534637,.141925,26,.0168532,.0065195,.0179722
5,2,1,0,.7269763,.4675471,.1106042,.5453469,.1070448,.4407903,.1200817,.8237484,-.9474877,-.318879,-.1673291,.0821318,1.596074,.3331881,.5808023,.3672645,-.2398551,-.1540864,.7519194,.3061829,.3451973,.0244441,26,.0029027,.0311589,.0858957
6,2,2,0,.3340363,.5695481,.0731813,.7469589,.1476921,.474099,.0358079,.8838209,-.7243441,-.6189836,-.1365575,.1919466,1.767468,.3099318,-.0308283,.1118521,-.2199188,.0274913,.0903098,.1118071,.276964,.0226262,26,.0026868,.028235,.0778352
7,2,3,.0049352,.2562349,.6756455,.0649296,.7647954,.0683031,.4291793,.0637674,.8804188,-.1647283,.1511246,.1511246,.3742682,1.965301,-.0049192,.2003615,.1354174,-.0351118,.0653901,.7003135,.1517781,.5071595,.0215225,26,.0025557,.0199274,.0549339
8,2,4,.0071766,.1904182,.7251248,.0611254,.78861,.1278388,.3896059,.0454341,.882458,-.7243441,-.2318677,-.031197,.2464348,2.064989,-.153823,-.0510395,-.0685869,.0081255,.0014632,-.0922724,-.1226142,.4867578,.0857328,26,.0101805,.0070383,.0194024
9,3,1,0,.3540749,.5867487,.0503281,.8317901,.0830524,.636942,.0323898,.9385994,-1.417491,-.7243441,-.2055503,.1511246,1.798133,.0503004,.071415,.0985457,-.0671386,.2157649,.217414,.0335929,.3818168,.0342152,26,.004063,.0333242,.0918648
10,3,2,0,.2111814,.8248816,.0552898,.8515878,.1072188,.6130066,.0413874,.9154605,-.7243441,-.1365575,.278958,.4512292,2.28161,.0101435,.1437887,.0906562,.0404571,.0293656,.3416138,.1472103,.3387863,.1176432,26,.0139698,.0205477,.0566437
11,3,3,.0026048,.1352611,.9941931,.045965,.8808824,.101181,.6033171,.0373283,.9242988,-.5056549,-.031197,.1511246,.4102785,2.702543,.0017063,.0871051,.0954428,.112394,.0908034,.0041091,.1257447,.3834484,.1298166,26,.0154153,.0114368,.0315279
12,3,4,.0011917,.1302682,1.113384,.052989,.8709728,.1338673,.5627413,.0408751,.9171396,-.5012006,-.031197,.1735975,.4102785,3.044643,.072779,.0348824,.0587018,.0696983,.0696748,-.0369029,.0198826,.3414406,.3693881,26,.0438637,.0046603,.012847
1,1,1,.0394818,.7967857,.2113483,.228613,.2590513,.2083609,.1737783,.3080197,.5933991,-1.121841,-.7651661,-.5420225,-.3008605,1.235343,.124568,.0199801,.0338726,.7662097,.2851793,-.0836119,-.0177488,.0301359,.0138174,29,.0014186,.0273215,.0753171
2,1,2,0,.3945409,.5516191,.1411279,.6171727,.2212508,.2388752,.0889166,.8636863,-.7243441,-.318879,-.1647283,.0558145,1.736062,.0766327,.0309618,.0332404,.1817612,.1539421,.0036767,-.0172117,.2042423,.0152818,29,.0015689,.0244441,.067385
3,1,3,0,.4022372,.5892091,.1029118,.6492332,.0835713,.3257432,.1159261,.866911,-1.23517,-.2543405,-.031197,.0045211,1.802562,.1028031,.2073506,.2630994,-.1356027,-.0135905,.3802909,.329471,.4855041,.0143431,29,.0014725,.0134513,.0370812
4,1,4,.0013268,.2117722,.7475934,.0816669,.7898346,.1651104,.3788709,.0592482,.9002478,-1.012026,-.2055503,-.031197,.2561279,2.111911,.0377829,-.0480077,-.0209189,-.1275291,-.0797936,.015006,-.0128437,.159016,.1058086,29,.0108628,.0051398,.0141689
5,2,1,0,.6698844,.5611073,.0984317,.696026,.0560062,.6371613,.1845231,.8154769,-.6373327,-.5012006,-.1365575,.1511246,1.752612,.3707114,-.168887,-.0861752,.0029638,.2193833,-.224484,-.1739404,.1221391,.0209515,29,.002151,.0245651,.0677184
6,2,2,.0104962,.3270366,.581369,.1178708,.7029608,.197856,.4372845,.0790008,.8320702,-.5420225,-.2318677,-.031197,.1919466,1.788485,.073691,.0168267,-.0292785,-.028148,-.0290594,.0569399,-.0817931,.1831986,.0229415,29,.0023553,.0222599,.0613637
7,2,3,0,.2065496,.6632274,.1013659,.8001626,.2107634,.4025757,.0728877,.9036617,-.6373327,-.318879,-.031197,.0558145,1.941047,-.1491276,-.0710958,.0340499,.3355391,.4339768,-.3447248,-.0614186,.1650019,.0195622,29,.0020083,.0157104,.0433088
8,2,4,0,.1715488,.7983366,.103268,.76899,.1841045,.3909322,.086529,.847275,-.3597011,.0558145,.1511246,.3742682,2.221842,.2445733,.0974913,.1385693,.059634,.0884533,.0019823,.0704668,.1635524,.089926,29,.0092322,.0055488,.0152965
9,3,1,0,.3088783,.6636467,.139979,.7503796,.2689054,.4395485,.0823589,.8892971,-.4286939,-.1365575,.1023344,.1511246,1.941861,-.0111248,.6674786,.7209036,.2387505,.3364161,.9595911,.8222123,.1286051,.0213645,29,.0021934,.0262722,.0724244
10,3,2,.0004469,.2157554,.8494219,.0431274,.8940517,.0673989,.7548736,.03645,.9323414,-.2318677,.1919466,.4102785,.5565897,2.338295,.0975408,.1434188,.0577799,.0383083,.0135829,.3369254,.0812693,.1911745,.1091128,29,.011202,.0161994,.0446568
11,3,3,0,.1403974,1.062894,.0755096,.8729845,.1697404,.6378026,.0601191,.9113964,-.031197,.3052753,.4102785,.49729,2.894736,.0106958,.0082891,.0706411,-.0709103,-.0353525,.0715588,.2144765,.2535079,.1325799,29,.0136113,.0090166,.024856
12,3,4,.0001929,.1020322,1.24683,.0539842,.8936071,.1187853,.6096463,.0466211,.9258723,-.3989217,.0175933,.3052753,.49729,3.479296,.0813735,.136552,.2198451,.1903511,.2810509,.0654209,.0974771,.2764984,.4343108,29,.0445884,.0036741,.0101283
1,1,1,.025736,.5185031,.5869752,.0693541,.6191443,.0842698,.3693995,.053292,.8880835,-.9474877,-.2543405,.1511246,.3742682,1.79854,-.0356184,-.0690088,-.1043808,.0743463,-.0370223,-.1102763,-.102001,.3885901,.0117457,31,.0025442,.0279766,.0771229
2,1,2,0,.2190651,.7324108,.0876853,.7378008,.1259172,.3209838,.0769606,.8547248,-.6373327,.0865861,.2924955,.4875969,2.080089,.1321773,.2574846,.18518,.0498108,.0276825,.4743406,.3033627,.8463703,.014166,31,.0030684,.0250302,.0690006
3,1,3,.0101842,.2334573,.8017784,.0863027,.7097688,.1094771,.2694468,.0792447,.8438727,-.1365575,.1919466,.4102785,.5077996,2.229502,.1341586,.2451537,.1077409,.2473993,.1359201,.2967733,-.1049298,.8496488,.0144151,31,.0031224,.0137738,.0379702
4,1,4,.0029322,.1675014,.8754137,.0690349,.8014933,.1103039,.3879341,.0607314,.8847028,-.5420225,.187135,.4102785,.524124,2.399868,.0198168,.0305886,.0379565,.0258577,.038687,.0464027,.0262789,.5348117,.1520528,31,.0329354,.005263,.0145086
