wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.7357733,.9063199,-.2588553,.1124747,.3733545,.1089915,.3369087,.1461727,.7259541,-1.859226,-1.32023,-1.079068,-.8296069,.7719347,.4328952,-.1621674,-.0949872,.3704741,.3403998,-.1787349,-.128768,.2851039,.0334506,26,.003982,.0299693,.1082159
2,1,2,.6203412,.5622967,-.0776285,.1106105,.5017202,.1050937,.3213706,.1176977,.733407,-2.146908,-1.453761,-1.048296,-.760614,.9253081,.2900801,-.0432314,.0456743,.0266455,.1388411,-.1147737,.0117118,.2197881,.057772,26,.0068772,.0292179,.1055027
3,1,3,.5019684,.4150303,.1181939,.1078812,.6242747,.1149269,.3543423,.1028823,.8157891,-1.676905,-1.166079,-.9837575,-.5782924,1.125462,.0274657,.0507474,.0753037,-.040722,.0525148,.1472897,.0413316,.2610691,.053312,26,.0063463,.0156812,.0566232
4,1,4,.4217027,.3385303,.2023061,.0921644,.6913591,.1075714,.4367656,.0842793,.8216562,-1.964587,-1.097086,-.760614,-.4729319,1.224223,.0891813,-.0329751,-.0339634,-.0073771,.0093092,-.0496859,-.0705725,.1553283,.1861737,26,.0221622,.0086895,.031377
5,2,1,.6478118,.717968,-.0758706,.0964627,.61087,.1140002,.4933687,.0518175,.9099928,-1.636083,-1.206901,-.9837575,-.6736026,.9269361,.1068034,-.1305545,.0765821,.1213076,.1655896,-.1669911,.0835081,.1526843,.0381895,26,.0045461,.0285398,.1030543
6,2,2,.454918,.4063584,.1409135,.0979341,.6388997,.1135723,.3902228,.0872294,.8091235,-1.389223,-.9837575,-.760614,-.2906103,1.151325,.0466897,-.0134455,.1303843,-.0153986,.2134249,.0005941,.0361026,.1102332,.0447402,26,.0053259,.0295595,.1067363
7,2,3,.3961145,.3269515,.2797223,.1044045,.7122329,.1248095,.5339528,.0944922,.7988372,-1.859226,-.8659745,-.5374704,-.2497884,1.322762,.0302782,.0491712,.0615754,-.0069978,.0427525,.1317348,.0670338,.1639195,.0323705,26,.0038534,.0156514,.0565156
8,2,4,.2933009,.261476,.4138996,.0932467,.740471,.1272128,.4895054,.0812209,.8293259,-1.859226,-.9837575,-.5374704,-.2497884,1.512705,.1268201,-.0127817,.0689465,-.0575818,-.0071125,-.0298804,.134976,.1854163,.0889578,26,.0105896,.0080724,.0291487
9,3,1,.4158373,.5162602,.3045489,.15073,.6556691,.1644051,.5204554,.1361356,.7999729,-1.27144,-.760614,-.760614,-.2906103,1.356013,.4264932,.4890867,.0354524,.1958458,-.1389858,.4525357,.0159621,.1605031,.0216384,26,.0025758,.0390162,.1408833
10,3,2,.3252609,.3769012,.4341081,.0912356,.7817985,.1207133,.6393787,.0734051,.8679456,-1.32023,-.4729319,-.2497884,-.0674668,1.543586,.0778019,.0784283,.0369,-.030747,-.0158661,.2024832,.0654161,.1630395,.1244643,26,.0148163,.0206205,.0744586
11,3,3,.209434,.2579443,.7037941,.0783855,.800544,.0945866,.5816805,.0727539,.8766227,-1.453761,-.450459,-.1728274,-.0266448,2.021408,.1904363,.0547608,.0279738,-.0418961,-.0368029,.1825044,.0557496,.175178,.1015366,26,.012087,.0102553,.0370309
12,3,4,.1211056,.2228995,1.014212,.0732279,.8348323,.1318146,.6315555,.0564232,.8931391,-1.166079,-.4729319,-.1082888,.0603665,2.757189,-.0103545,.0805167,.2162701,.1683856,.2969119,-.0116522,.1282295,.1469057,.2173943,26,.0258787,.0050967,.0184037
1,1,1,.6310595,.8410715,-.2798498,.1212654,.3352505,.1229747,.3139255,.1122192,.4481057,-2.013377,-1.676905,-1.453761,-.8559241,.7558973,.162586,-.0499588,.0771738,-.0820296,-.0144398,-.0472119,.0902532,.1231902,.029982,29,.0038036,.0180516,.0651826
2,1,2,.5932801,.5936685,-.0061881,.1096937,.5087828,.1027359,.3271736,.1198595,.7741219,-1.676905,-1.27144,-.9429356,-.6552535,.993831,.1585688,-.0086366,-.0784383,.3206076,.1776738,-.0330324,-.1718866,.0576089,.0416544,29,.0052844,.0175991,.0635483
3,1,3,.4684896,.3253836,.2047807,.1363313,.6786942,.1855451,.4031425,.1125943,.8115993,-1.117289,-.9147646,-.5782924,-.4729319,1.227256,-.0555594,.0948067,.0482166,.1334037,.1847533,.0734167,-.1152144,.0752449,.0426026,29,.0054047,.0094454,.0341063
4,1,4,.3854307,.2965503,.2980441,.0860661,.7176919,.0778947,.4589908,.089511,.8267514,-1.166079,-.760614,-.3859206,-.1082888,1.347221,.0132531,.0658042,.0283615,-.0061077,-.065917,.0620607,.1033286,.0755024,.1704757,29,.0216271,.005234,.0188995
5,2,1,.6634239,.67154,.0525126,.1594548,.6200307,.1748983,.5259311,.1278804,.8124185,-1.453761,-.8502261,-.760614,-.4729319,1.053916,.0865491,.1678475,.2410871,.3602399,.4379079,.1169336,.2007327,.0281403,.0392676,29,.0049816,.0171906,.0620736
6,2,2,.4844285,.4313347,.1663067,.1351402,.6557276,.1534209,.4950621,.1212741,.777593,-1.636083,-.9429356,-.760614,-.2497884,1.180935,.0813492,.159915,.1454808,.3195348,.257292,.0687914,.0958573,.1067303,.0541769,29,.0068731,.0178048,.0642914
7,2,3,.2961778,.1938564,.3785622,.1571162,.6925851,.2055453,.3688899,.1454702,.7704253,-1.964587,-.9429356,-.3551489,-.0674668,1.460184,-.0162712,.0163422,.1407462,.1110934,.2122681,-.0742192,.1348812,.1539525,.0342325,29,.0043428,.0094274,.0340415
8,2,4,.2667299,.2026837,.4803196,.0949876,.816494,.1485901,.5698845,.0813614,.8791841,-1.328598,-.5374704,-.2906103,-.0674668,1.616591,.0571368,.0501425,-.0123908,-.0496944,-.0834405,.1703823,.0478006,.0600592,.0977603,29,.0124022,.0048623,.0175574
9,3,1,.4570054,.4443976,.2169845,.1496702,.5843073,.051902,.508893,.2278699,.6446273,-1.725695,-.9429356,-.3551489,-.2497884,1.242325,.0803411,.0176223,.1332197,-.0345947,.1619177,.1856148,.08296,.0616599,.0215465,29,.0027335,.0235009,.0848594
