wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7165578,.2926503,.0934304,.4713188,.0993171,.3171187,.0785487,.861145,-1.012026,-.8297046,-.6189836,-.1757781,1.339974,.1200929,.1416027,.1789046,.1144582,.3128971,.3055121,.1296345,.4308117,.0132523,26,.0015882,.0513763,.123292
2,1,2,.0112024,.4301777,.4942098,.1228556,.6223223,.1409888,.3406708,.1091662,.8349503,-1.23517,-.5420225,-.318879,.0457641,1.639202,.2426623,.1949763,.1756768,.1536547,.0507832,.0912262,.182443,.4384113,.0179485,26,.0021509,.0464751,.1115303
3,1,3,.0022065,.2726317,.6051317,.0807657,.7263583,.0825932,.4339761,.0800807,.8359488,-1.23517,-.4730297,-.031197,.1511246,1.831493,-.0085379,.0335403,-.0148948,.0204993,.0051558,.0942868,-.0521413,.1595833,.0195246,26,.0023398,.022753,.0546022
4,1,4,.0025588,.2323722,.6553587,.0684207,.7389008,.0871051,.3545577,.0627647,.8552472,-.8297046,-.3597011,-.1673291,.1511246,1.925833,.0707372,.0089639,.0175424,-.0031064,.011016,.0389937,-.0000223,.4187847,.1432339,26,.0171651,.0058018,.0139231
5,2,1,0,.7304054,.4310287,.1049377,.5886061,.1324555,.4796982,.0303845,.8836673,-.9474877,-.5012006,-.2543405,.0113627,1.53884,.1770163,.0516534,.1290042,-.266203,-.1488312,.1244397,.1800796,.1825002,.0277268,26,.0033228,.0308912,.0741322
6,2,2,.0022078,.3332033,.554197,.091804,.7273727,.1275218,.5212122,.0739555,.8303926,-1.112567,-.2543405,-.1365575,.1511246,1.740543,.2103008,-.0508963,.0718212,-.146011,.0581355,.0252863,.033552,.4120909,.0244781,26,.0029335,.0295885,.0710061
7,2,3,.0041435,.2621725,.6377935,.0439265,.7653601,.0259887,.447209,.0503003,.8784088,-.3878719,-.2366409,.0865861,.2381359,1.892301,.0836359,.0600034,.1794554,-.0988827,-.0051726,.1449514,.3127051,.5453265,.023867,26,.0028602,.0215502,.0517159
8,2,4,.0020705,.197979,.7460936,.0659029,.7974167,.139444,.4515453,.0477493,.8827951,-.7243441,-.318879,-.031197,.1919466,2.108746,-.0939744,-.0135923,-.0491335,-.0358986,-.0346211,.0404954,-.0558583,.5277031,.0832127,26,.0099722,.0073472,.0176317
9,3,1,0,.4211036,.5966496,.0492515,.8177473,.0729616,.6518635,.0320041,.9384153,-1.23517,-.4774841,-.1365575,.1511246,1.816024,.2905786,.3462898,.2942933,.0346888,.0597533,.5906705,.4800397,.4314731,.0313937,26,.0037622,.037195,.0892601
10,3,2,.0004339,.2218557,.8101372,.0632686,.8452394,.1317766,.5851763,.0437363,.9193856,-.4084912,.0333417,.1919466,.4102785,2.248216,.127962,.0327611,.0815468,-.0454346,.0106998,.0785399,.0990751,.3459225,.124996,26,.0149795,.022372,.0536879
11,3,3,.0010257,.139407,.9771401,.0501232,.8876604,.1018436,.6514257,.041745,.9259279,-.5420225,-.1365575,-.031197,.3742682,2.656847,.2145632,.0361445,.1204444,.082062,.1562348,-.0658726,.0007676,.4001613,.1295635,26,.0155269,.0115996,.0278365
12,3,4,.0020215,.1208104,1.143577,.0487096,.8729518,.1094781,.5581718,.0403594,.9162061,-.5420225,-.031197,.1735975,.4102785,3.137971,.0821318,.0659357,.08734,.0822398,.0932886,.0266291,.0616183,.3020563,.3608029,26,.0432386,.0046961,.0112696
1,1,1,0,.823023,.2956015,.1518658,.3103119,.1499923,.2260666,.1605782,.7020903,-.9193168,-.7243441,-.318879,-.2055503,1.343934,.3545115,.0600498,.0984342,1.949342,.4837188,-.1180217,-.0243364,.2211365,.013711,29,.0014648,.0428804,.1029036
2,1,2,0,.3893088,.5413862,.0889714,.6178584,.1369437,.1682523,.0583896,.9044772,-.7243441,-.318879,-.318879,.1511246,1.718387,.0814529,-.0496235,-.0317595,-.0572815,-.059348,-.0439321,-.0506708,.1625975,.0149738,29,.0015997,.0387897,.0930869
3,1,3,0,.3015842,.6009696,.063346,.7793609,.1456836,.3494406,.0277916,.9650056,-.7243441,-.2543405,-.031197,.1511246,1.823886,.2347903,.299924,.5415832,-.2106288,-.1238068,.2115824,.7246765,.2677928,.0165253,29,.0017655,.0189904,.0455728
4,1,4,.0012706,.2216581,.7510059,.0805455,.7893342,.1619726,.3821549,.0573565,.9052918,-1.101638,-.318879,-.031197,.3334461,2.119131,.0698292,.0044595,-.0015812,-.1313528,-.1404788,.0528993,.0618941,.2295908,.1071983,29,.0114524,.0048424,.0116207
5,2,1,0,.6590106,.6230946,.1227594,.7365721,.1108969,.675649,.1456853,.8543147,-.5420225,-.3597011,-.072019,.1511246,1.86469,.3257351,.2506244,.0830744,.5370938,.3783725,.2153981,.0630902,.0812213,.0206026,29,.0022011,.0257828,.0618732
6,2,2,0,.32072,.6192902,.1373305,.6888087,.2224164,.3968613,.0971574,.8266507,-.5420225,-.2135185,-.031197,.1919466,1.857609,.0835711,.0169906,-.0167777,.0457703,.0230224,.0237353,-.0607702,.1919707,.0232365,29,.0024825,.0246956,.059264
7,2,3,0,.1861133,.6816139,.1215886,.8138237,.3537965,.3924935,.0684891,.9101703,-.4907293,-.1365575,-.031197,.3742682,1.977066,-.1174927,-.2559079,-.1599809,-.0209851,.0152649,-.4866958,-.2644582,.230115,.0181129,29,.0019351,.0179866,.0431639
8,2,4,0,.1935925,.8065748,.1006979,.7758536,.1605389,.4375474,.086332,.85707,-1.23517,-.031197,.1511246,.2762878,2.240222,.1286201,.0193403,.0287977,-.0284018,-.0264449,-.005816,.0650643,.2836951,.0842504,29,.0090008,.0061322,.014716
9,3,1,0,.3430349,.6337771,.0870379,.7214444,.0867582,.437851,.0871839,.869523,-.4286939,-.318879,-.077717,.1511246,1.884716,.0297567,.6060849,.7056177,-.0096223,.1004934,.8120674,.3291399,.2054651,.021685,29,.0023167,.0310442,.0744994
