wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8479007,.9168363,-.3267482,.0819633,.3240393,.0771743,.2827168,.1347593,.7795969,-1.859226,-1.453761,-1.166079,-.878397,.7212653,.231424,-.0661532,-.0220392,.0554986,.0748719,-.0953569,-.0299729,.1794193,.0332995,26,.003954,.0220523,.0788942
2,1,2,.6092445,.5226136,-.0296541,.0897366,.5677178,.0908891,.3428417,.0884749,.8138985,-1.676905,-1.166079,-.8559241,-.5782924,.9707813,.1401126,.2213002,.2325253,.1912111,.1302668,.144235,.2730959,.2228213,.055336,26,.0065706,.0261145,.0934269
3,1,3,.5489184,.4359452,.0850229,.1072912,.5899971,.0996131,.3524757,.1132254,.773572,-1.676905,-1.166079,-.9429356,-.5782924,1.088742,.0445848,.0148306,.162482,-.0333941,.1069825,.0706714,.2166608,.1758156,.050369,26,.0059808,.0150597,.0538774
4,1,4,.4052863,.3352715,.2344273,.0791413,.7203624,.0993645,.4427032,.0689414,.8604063,-1.859226,-.9837575,-.760614,-.403939,1.264185,-.0330865,-.0394912,.0187706,-.0997671,.0072655,.0490421,.0120417,.1580035,.1943405,26,.0230761,.0081126,.0290234
5,2,1,.6221805,.7995137,-.0895975,.1090381,.5651771,.1140188,.4913572,.0891759,.8595611,-1.636083,-1.27144,-.9429356,-.5782924,.9142991,.0463568,-.0930463,.0449132,.1951205,.2276375,-.1129671,.0430107,.1551023,.0350484,26,.0041617,.0263606,.0943075
6,2,2,.5701006,.4257899,.0656973,.1013903,.6422433,.1596098,.4057211,.0582192,.81763,-1.676905,-1.166079,-.801436,-.5782924,1.067903,.1981761,.0538125,.0692093,.1688407,.0484859,.0344393,.0901084,.126876,.0432334,26,.0051336,.0256287,.091689
7,2,3,.3485366,.2794513,.3159805,.0746049,.7341871,.0838769,.5399178,.0710089,.8095308,-1.484533,-.760614,-.5374704,-.2497884,1.371603,.1800443,.0183721,.0216442,-.0020071,.0329272,.0810884,.0306728,.161093,.0323901,26,.003846,.0171753,.0614463
8,2,4,.3020714,.2966108,.4015107,.0865955,.7217793,.1341844,.4584297,.0665278,.8328306,-1.571544,-.760614,-.4729319,-.1544781,1.49408,.085955,.0199767,.0864307,-.0034485,.1006442,.0365061,.0245031,.1447556,.0891602,26,.0105869,.0069792,.0249687
9,3,1,.3910716,.5623811,.2982379,.1292464,.6589538,.1278893,.553821,.1309904,.7940592,-1.676905,-.8559241,-.4729319,-.1444278,1.347482,.3912682,.2645079,.0118951,.1990547,-.365201,.1762072,.1125775,.1231153,.0234356,26,.0027828,.0364571,.1304286
10,3,2,.2989476,.3824828,.4807891,.0904648,.7990001,.1269155,.6545581,.0678876,.8884657,-1.166079,-.5374704,-.2497884,-.0674668,1.61735,.0915114,.1191452,.035637,-.0401356,-.0520771,.2491704,.0692501,.1553208,.1241736,26,.0147444,.020487,.0732941
11,3,3,.2223259,.2373326,.702453,.0965714,.7824459,.1053044,.5729846,.0938537,.8476276,-1.27144,-.5374704,-.2906103,.001526,2.018698,.1605602,.0639981,.0135181,-.0824411,-.0692292,.4059871,.1065345,.1717827,.0981496,26,.0116543,.0103264,.0369435
12,3,4,.1179105,.2222884,.9980445,.0735035,.8309874,.1049513,.6417688,.0645149,.8850706,-1.166079,-.4729319,-.1082888,.1148548,2.712971,.0595439,-.0435557,.130509,-.0066451,.1671918,-.0881466,.0911566,.1427631,.221064,26,.0262492,.0049716,.0177864
1,1,1,.5106362,.8120065,-.2116464,.1537823,.3614449,.1744157,.2889057,.0646601,.6747657,-2.013377,-1.859226,-1.166079,-.8559241,.8092508,.0306959,.1365577,.0137702,-.005241,.0267341,.1773587,.0059136,.1245043,.0262118,29,.0033601,.0181464,.0649205
2,1,2,.6670634,.5695993,-.0153908,.1094973,.5286875,.1300993,.2887435,.0822324,.8462332,-1.453761,-1.048296,-.8296069,-.5374704,.984727,.1798383,-.0368275,.01641,-.0030276,.1118376,-.008086,-.1293308,.067301,.0474015,29,.0060764,.0214891,.0768793
3,1,3,.4936927,.3262578,.2184152,.1000701,.7352455,.1320781,.4972518,.0845702,.8504933,-1.502551,-.9429356,-.760614,-.3551489,1.244104,.199157,.251886,.1926794,.1770018,.2122154,.3564651,.0890068,.0532072,.0467535,29,.0059933,.0123923,.0443347
4,1,4,.3596079,.2943167,.3359959,.0933761,.7429035,.098102,.5024775,.0914051,.8431772,-1.27144,-.760614,-.5374704,-.2497884,1.399333,-.0162565,.0536346,.0634784,.0130946,.0175925,.0595114,.0887858,.0899321,.1675415,29,.021477,.0066757,.0238828
5,2,1,.5810865,.7289533,-.0403461,.1259056,.5569711,.1480413,.4792871,.0663737,.7658944,-1.389223,-1.097086,-.8502261,-.5782924,.960457,.107473,-.0588605,.0619316,-.0908814,-.0781649,-.0822449,.080895,.0203956,.0374546,29,.0048013,.0216916,.0776038
6,2,2,.4969552,.4414616,.1941026,.1122275,.639789,.1478608,.474501,.0840634,.7704306,-1.166079,-.9429356,-.7242464,-.3551489,1.214221,.1394563,.1270535,.0396983,.1206979,-.0103797,.0897088,.0664629,.0898833,.0524883,29,.0067284,.0210894,.0754492
7,2,3,.2887685,.2704811,.3505239,.1808501,.661678,.2412338,.4155608,.1584619,.7529299,-1.964587,-1.166079,-.760614,-.2216175,1.419811,.0206029,.007753,.1079137,.0981061,.1050334,-.1601957,.082546,.1563173,.0311042,29,.0039872,.0141332,.050563
8,2,4,.254876,.2005492,.4943465,.0905611,.7851417,.1285761,.5127766,.0810247,.8534669,-1.328598,-.4729319,-.2906103,-.0674668,1.639427,.0870571,-.0150961,-.0828712,-.0506757,-.0870775,.1401271,-.1064627,.0449492,.1027735,29,.0131745,.005743,.0205463
9,3,1,.4086276,.3568606,.2952104,.0748224,.6141801,.0662665,.381215,.0795697,.7434461,-1.859226,-.5782924,-.3551489,-.3551489,1.343409,.0673098,.017032,.3125654,-.0667234,.3101238,.0742544,.1781239,.0563242,.0206389,29,.0026457,.0299998,.1073272
10,3,2,.24876,.316891,.610684,.0946656,.7782584,.1106676,.6435959,.0872424,.8407277,-.760614,-.403939,-.0674668,.1148548,1.841691,.108057,.0665951,.123791,.0660494,.0840722,.0223036,.1314556,.0667965,.1150855,29,.0147527,.0168583,.0603123
11,3,3,.2133364,.1736578,.7997899,.0613221,.8616573,.0932835,.7133909,.0546053,.8928159,-.9837575,-.2497884,-.0674668,.1148548,2.225073,.0734232,.1637024,.1600161,.1832155,.1715837,.1059344,.1052474,.0805997,.1010887,29,.0129585,.0084974,.0304001
12,3,4,.1179606,.1476635,1.160118,.0637511,.8699041,.088666,.7145658,.0594347,.8968158,-.760614,-.2906103,-.0674668,.1148548,3.190308,.0277482,-.0690238,-.0428001,-.0819715,-.0367207,.0035877,-.0825453,.0415548,.251458,29,.0322342,.004091,.0146361
1,1,1,.6179818,.6481949,.0421567,.0789099,.4455504,.0758434,.2428211,.08456,.8190758,-1.964587,-.9837575,-.6960755,-.4241417,1.043058,-.0227671,.2258177,.2002578,-.0202589,.0175998,.3913586,.2554173,.2316358,.0220472,31,.0041035,.0242045,.086594
2,1,2,.3854647,.4052385,.2159317,.1155302,.604884,.1002576,.3006592,.1259362,.8121665,-1.964587,-.760614,-.5782924,-.2497884,1.241018,.1607837,.0242356,.0283594,-.0930341,-.050514,.0967874,.0306527,.2152681,.0356593,31,.0066371,.0286632,.1025451
3,1,3,.2660309,.2503089,.3848929,.1149153,.6941145,.1317245,.3473648,.109303,.8098882,-1.27144,-.5782924,-.3551489,-.1627769,1.469457,-.0356699,.0420838,.0272887,.0185801,.0334306,.1206009,.0269034,.229977,.0473746,31,.0088176,.0165294,.0591356
4,1,4,.2205558,.2412464,.4947392,.0853294,.7427758,.1153113,.3690656,.0757966,.8615972,-1.27144,-.5782924,-.2906103,-.0674668,1.64007,.0002213,.0678322,.0422541,.0172508,.0134735,.1443792,.0690536,.2307392,.218932,31,.0407486,.0089043,.031856
