wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8730375,.9021797,-.275897,.1263095,.3693578,.1292649,.3218013,.099052,.8079636,-1.772215,-1.166079,-1.079068,-.801436,.758891,.3698387,.0441037,.1631739,.0058415,.1383211,.0542795,.1533611,.1304933,.0339833,26,.0040528,.0263136,.0974581
2,1,2,.6259413,.5726286,-.0732919,.0918831,.5495431,.0911262,.3480499,.0928973,.8195207,-1.676905,-1.166079,-.8559241,-.5374704,.9293295,.2076335,.0789217,.1230905,-.0043215,.0266562,.0382207,.1476764,.2095192,.0505919,26,.0060336,.0253329,.0938258
3,1,3,.519323,.4460919,.1053622,.1048943,.6027079,.1130034,.3590274,.0983636,.7989568,-1.676905,-1.389223,-.760614,-.4729319,1.111113,.0896775,.0126391,.1528653,.0530824,.2306155,-.0042966,.0483813,.1945709,.054805,26,.006536,.0173175,.0641391
4,1,4,.4299142,.3446405,.2179098,.0847835,.696869,.1015108,.4355254,.075987,.8343044,-1.763916,-1.048296,-.760614,-.403939,1.243475,.0636124,.0440806,.0341624,.0060462,-.0172251,.0479984,.0679597,.1506617,.1950905,26,.0232664,.0097187,.0359951
5,2,1,.5284386,.7434606,-.0762753,.1146194,.5524561,.1276877,.4512268,.0767472,.8458226,-1.559122,-1.32023,-.9837575,-.6805712,.9265611,.0289218,-.0261817,.1884324,.1533616,.1731021,-.0606555,.2118116,.205788,.0375,26,.0044722,.0250127,.0926399
6,2,2,.5249094,.5077689,.1033796,.1029466,.6203311,.0922793,.4589566,.1139507,.7867997,-1.676905,-1.079068,-.801436,-.3859206,1.108912,.1324594,.0486605,.0964788,-.059185,.1110819,.1582895,.0502116,.1971926,.0455084,26,.0054273,.0248867,.092173
7,2,3,.3428904,.2691898,.3192835,.0846097,.7618721,.0573277,.6964632,.0946589,.785965,-.9837575,-.760614,-.4241417,-.2497884,1.376141,-.0072032,.0437459,-.0453384,.0092646,-.0675609,.1744645,.0021451,.1762406,.0372911,26,.0044473,.0159666,.0591356
8,2,4,.3063194,.2787053,.4216866,.0982676,.7271694,.1373988,.5054922,.0831475,.8128245,-1.549071,-.801436,-.4729319,-.0674668,1.524531,.0209296,.0776137,.1061941,.0697386,.0693047,.0670355,.163854,.1706276,.0928273,26,.0110706,.0064965,.0240611
9,3,1,.3527343,.5822683,.2634228,.0912144,.6766438,.0748595,.5610434,.1140112,.8377771,-1.676905,-.760614,-.7180544,-.2497884,1.301377,.2695762,.1212747,.3339252,.1272065,-.0927867,.0890905,.4265384,.1593576,.0229805,26,.0027406,.0369278,.1367699
10,3,2,.2999052,.3835075,.473291,.0884948,.7853463,.1285899,.6419604,.0635524,.8745437,-1.32023,-.5374704,-.1627769,.0195445,1.605268,-.0269178,.0652915,.0327033,.0012348,-.0485672,.1007665,.1045285,.1367192,.1203691,26,.0143552,.0222525,.0824167
