wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7497922,.2800058,.1049481,.4551547,.1229979,.3025398,.0508587,.9124923,-1.012026,-.7243441,-.5420225,-.1365575,1.323138,.1211894,.1967325,.2496824,-.1703987,-.1514313,.291858,.2778671,.2271483,.0118384,26,.001394,.0280672,.0747484
2,1,2,.0084461,.487042,.4418059,.1009914,.6036241,.1372638,.2905656,.0665516,.9008662,-1.072651,-.6373327,-.4084912,-.031197,1.555514,.1629882,.0499201,.1084333,.0152718,-.0369292,-.0611386,.1242182,.5650532,.0186594,26,.0021972,.0277138,.073807
3,1,3,.0042429,.2452518,.6061457,.0911136,.7413041,.1114363,.3716513,.0845099,.861421,-.6598055,-.2055503,-.031197,.1511246,1.833351,.1161753,.0164344,-.0286787,.0154202,-.0403141,.0280349,-.0608355,.2336078,.0199383,26,.0023478,.0140425,.0373978
4,1,4,.0044231,.2409463,.6371123,.0684498,.7242985,.0975146,.3610714,.0592238,.8395977,-.8297046,-.5420225,-.2726897,.1023344,1.891012,.1802624,.0466599,.0703061,.0202092,.0138488,.0278647,.1013215,.3326548,.1383879,26,.0162953,.0050345,.0134079
5,2,1,0,.7009143,.4509494,.1211846,.5424286,.0990252,.4295031,.1731158,.8070718,-.9474877,-.5420225,-.2543405,.0113627,1.569802,.2134852,.2224699,.1379931,-.2304547,-.1443118,.389982,.0203427,.2991154,.0257756,26,.0030351,.0289302,.0770467
6,2,2,.002243,.3449152,.5667954,.097542,.6934784,.200022,.3841789,.0435842,.8563308,-.7243441,-.5420225,-.031197,.1919466,1.76261,.2017155,-.0316801,.0709982,-.1081398,.1282206,-.0412944,-.0320075,.2470865,.0236768,26,.002788,.0280851,.0747959
7,2,3,.0021713,.2560948,.6785153,.060585,.767408,.0516563,.4548344,.0636588,.8750136,-.2543405,.061972,.0865861,.3742682,1.970949,.1600003,-.0047818,.1649964,-.1701825,.0333055,.3893887,.2510703,.497296,.0220371,26,.0025949,.0151468,.0403387
8,2,4,.0073727,.1867769,.7336312,.0683279,.8042037,.1561665,.4247674,.0481535,.8913506,-.7243441,-.318879,-.1365575,.1511246,2.082629,.0042986,-.0045043,.0093461,-.0266005,.0109129,.0473199,-.0108729,.3920573,.0855578,26,.0100745,.0055614,.014811
9,3,1,0,.3972127,.5857507,.0616576,.8106663,.1021784,.6192967,.034956,.9367712,-.7243441,-.2543405,-.031197,.2644533,1.796339,.0609934,-.0839655,-.0271007,-.2854236,-.1177841,.0470308,.0450422,.4566433,.0301699,26,.0035525,.0348828,.0928994
10,3,2,.0013187,.2269251,.8058612,.0506887,.8594204,.1049374,.6525843,.0347647,.9201342,-.7243441,-.1365575,.1511246,.4102785,2.238624,.1282568,-.0072501,.0181067,.0520862,.0234194,-.1113013,-.0022202,.3082065,.1275005,26,.0150133,.0182061,.0484863
