wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7392128,.3129632,.1287813,.4630496,.1691456,.2960393,.014367,.9364475,-1.101638,-.8297046,-.3597011,-.1520616,1.367471,.2054137,.1786665,.1195427,.0363867,.5338637,.1912891,.060157,.4745612,.0140685,26,.0016748,.0324213,.0779522
2,1,2,.0039349,.4128493,.5098506,.0886687,.6633936,.1479229,.3254054,.0470047,.9010468,-1.012026,-.5420225,-.100547,.0113627,1.665042,.1446739,.0172695,-.0052933,.163187,.1300326,-.0663923,-.2031025,.6524358,.0189208,26,.0022525,.0334831,.0805052
3,1,3,.004929,.2764975,.6130329,.0909138,.681265,.0957261,.307057,.0890748,.8242742,-1.23517,-.3597011,-.1365575,.1511246,1.846022,-.0013452,.0617748,-.0104734,.0671401,-.0077625,.0494919,-.034861,.6453543,.020256,26,.0024114,.0227423,.0546805
4,1,4,.00182,.2348441,.6478381,.0730736,.7307628,.1050493,.3554376,.0632595,.8459588,-.8297046,-.5012006,-.2543405,.0329844,1.911404,.1701999,-.0354562,.000187,-.0273612,-.0017689,-.0351577,-.0357621,.4553735,.1484352,26,.0176707,.0069087,.0166109
5,2,1,0,.7119552,.4635563,.125249,.5501772,.1244749,.4513762,.1271623,.7943819,-.8297046,-.4366621,-.2543405,.0865861,1.589717,.3127313,.1522683,.0729955,-.2949574,-.2223099,.2744592,.0853124,.4684789,.0246524,26,.0029348,.026299,.063232
6,2,2,.0046101,.3560875,.5443436,.0881286,.7243452,.1491707,.4315326,.0543719,.8862724,-.7243441,-.4619798,-.072019,.1511246,1.723477,.1219148,.0225024,.1081439,-.1001223,.1371274,.0583318,-.028071,.3802529,.0247175,26,.0029425,.0316435,.0760819
7,2,3,.0048086,.2422107,.6759304,.0667644,.7626647,.0879069,.5013105,.0600067,.8462009,-.318879,-.1365575,.1511246,.358764,1.965861,.1196497,.0621828,.0711389,-.1375308,-.0471896,.7429754,.200483,.226498,.0218517,26,.0026014,.0172616,.0415029
8,2,4,.00687,.1958495,.7521872,.0606087,.7846026,.1381324,.3790473,.041728,.883375,-.7243441,-.2055503,.1511246,.3334461,2.121635,-.0774721,-.031031,-.0598899,-.0603327,-.0613576,.0118147,-.0478534,.4084737,.083043,26,.009886,.0071638,.0172243
9,3,1,0,.3651538,.631556,.0698802,.80427,.1206088,.6040638,.0407019,.9194255,-.4366621,-.1563601,-.031197,.1919466,1.880535,.048121,-.0243592,-.0270836,.0464278,.0663351,-.0638588,-.105546,.3603489,.0337057,26,.0040125,.044866,.1078735
10,3,2,.0009228,.2224432,.8009525,.0558597,.8599675,.1109815,.6308443,.0400905,.9255149,-.8604763,-.1112397,.1511246,.4102785,2.227662,.1252828,.1678592,.1169184,.0669671,-.0137551,.1734613,.2226135,.3101851,.1202006,26,.0143095,.0213569,.0513495
11,3,3,.0018222,.1294489,.9651113,.0447875,.8931357,.0893003,.6377415,.0381685,.9311122,-.6598055,-.1365575,.0641132,.3742682,2.62508,.0979139,-.0877508,.0139212,-.0603607,.0342694,-.1608206,-.054307,.4097466,.1339434,26,.0159455,.0128963,.0310071
12,3,4,.0010833,.1175671,1.14513,.0502277,.8703781,.1202133,.5710273,.0409035,.9102608,-.5012006,-.031197,.1511246,.4102785,3.14285,.0066945,.0780444,.0970052,.0982802,.0982132,.0217427,.1084202,.3342253,.3562054,26,.042405,.0054257,.0130453
