wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7259105,.2728592,.1023783,.4232223,.1202765,.2449378,.0549756,.8953984,-1.129809,-.9474877,-.7243441,-.318879,1.313715,.1521251,.4435909,.2257681,.4854898,.4517087,.5567101,.1915518,.1925177,.0125574,26,.0015039,.0285252,.0783656
2,1,2,.0066723,.4217837,.4996096,.0756889,.6599034,.0895829,.3743219,.0655538,.8682227,-1.012026,-.5420225,-.318879,.0113627,1.648078,.1272851,.1637272,.131165,.217148,.1377558,.0444055,.0676874,.6439841,.0198157,26,.0023732,.0275776,.0757623
3,1,3,.0097904,.2492357,.5962117,.0773439,.7508599,.0659852,.4362382,.0811148,.8553067,-1.23517,-.2055503,-.031197,.1511246,1.815229,.0398897,-.0702064,-.007393,-.0930622,-.039824,-.0976974,.0510219,.1749168,.0216463,26,.0025924,.0162937,.0447628
4,1,4,.0034614,.2328524,.6508529,.0734454,.7438495,.1051487,.3780432,.0638226,.8548827,-.8297046,-.5420225,-.2543405,.1511246,1.917175,.0865464,.0330531,.0486466,.0166847,.0156754,.0349482,.075876,.4159601,.1468028,26,.0175814,.0059855,.0164435
5,2,1,0,.6668683,.4395143,.1154088,.5964744,.1088036,.4796484,.1286313,.8303384,-.8421271,-.5420225,-.318879,.0065434,1.551953,.2217072,-.0446357,.082865,-.1485384,-.0778173,-.0705238,.0940167,.3346999,.0265279,26,.003177,.0225682,.0620003
6,2,2,.0044752,.356713,.5406387,.0863717,.6862329,.1432438,.4092795,.0548351,.839808,-1.33048,-.2543405,-.072019,.1919466,1.717103,.1435303,-.0543454,.0336282,-.1253386,.0854698,.0052139,-.0325387,.2193926,.0253075,26,.0030309,.0269091,.0739259
7,2,3,0,.278277,.6374158,.0499527,.7113649,.0247663,.3601554,.0596639,.8467818,-.3878719,-.1647283,.061972,.187135,1.891586,.0239504,.0118431,.0524617,-.1446466,-.0672616,.7454306,.3122117,.5153356,.0203616,26,.0024385,.0145248,.0399031
8,2,4,.0049154,.1809383,.7430522,.0517639,.8105522,.1163513,.4470544,.037496,.8908523,-.8043869,-.318879,-.031197,.278958,2.102342,-.0242988,-.0324298,-.015393,-.0226353,-.0195125,-.0489898,.0022694,.518758,.0857822,26,.0102734,.0071137,.019543
9,3,1,0,.3978356,.5943801,.0694255,.7697294,.0978856,.5736455,.0506226,.8992774,-.7243441,-.4366621,-.2055503,.1511246,1.811907,.2944773,.1443997,.0989725,-.0246934,-.0271251,.3770465,.3935587,.2644738,.0286797,26,.0034347,.040265,.1106178
10,3,2,.0004471,.23775,.8120452,.0529901,.8548226,.0970797,.6281274,.0392383,.92553,-.6373327,-.1365575,.1511246,.4102785,2.25251,.0600061,.05156,.0235208,.0314006,.0019174,.0493276,.0242303,.3685907,.1245142,26,.0149121,.0215494,.0592015
