wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.8806413,.9048856,-.3618757,.1123896,.3320612,.1182644,.2764942,.0564981,.8607058,-1.964587,-1.453761,-1.166079,-.9429356,.6963689,.236797,-.1032118,.0408733,-.0165438,.2525362,-.0865568,.0119088,.2792831,.0308407,26,.0036819,.0240072,.0842216
2,1,2,.6207719,.5440031,-.0321173,.0925103,.5587898,.1053077,.3224585,.0772432,.8407326,-1.522754,-1.166079,-.8559241,-.4729319,.968393,.1197838,-.0425339,-.0141247,-.0060711,.0045226,-.077158,-.0333642,.1998255,.0504348,26,.0060211,.0251255,.0881445
3,1,3,.539602,.4826831,.0586305,.1119977,.552645,.0991821,.3236156,.1239552,.7663411,-1.676905,-1.079068,-.8406566,-.5782924,1.060383,.0429414,-.0130761,.0681108,-.0172756,.1225854,.0207235,.0214187,.2241171,.0540673,26,.0064548,.0159484,.0559496
4,1,4,.424374,.3185314,.215009,.0869961,.6974547,.0985133,.4378113,.0816127,.818817,-1.900048,-1.166079,-.760614,-.4729319,1.239873,-.0287575,-.0227074,-.0276914,-.032518,.0397894,.0881062,-.0945622,.1610293,.1935664,26,.0231087,.0088237,.0309552
5,2,1,.6283991,.827101,-.1095262,.1040573,.5226333,.111197,.454367,.0699032,.8491998,-1.559122,-1.27144,-.9429356,-.6270826,.8962587,.0939822,-.07586,.0735914,.315764,.2381322,-.1032461,.0867098,.1457913,.0360448,26,.0043032,.0276498,.0970004
6,2,2,.5048592,.4071539,.099525,.0989135,.6625499,.1223065,.4366576,.0828477,.8176878,-1.859226,-1.166079,-.9429356,-.6736026,1.104646,.0792164,-.0133147,.0391999,-.0139446,.0858272,.0159433,-.0126092,.1814806,.0418777,26,.0049995,.0231646,.0812653
7,2,3,.3528957,.2795931,.3036361,.0869083,.7284603,.068813,.5767186,.0939312,.7873519,-1.302211,-.760614,-.5782924,-.2906103,1.354776,.0144635,-.0668625,-.002636,-.1114819,-.0185157,.0567612,.0074327,.1740099,.0327966,26,.0039154,.013806,.0484339
8,2,4,.3038301,.2619212,.4024834,.0854287,.7411875,.1244472,.5114452,.0715822,.8227159,-1.842419,-.9429356,-.5374704,-.2497884,1.495534,.0795344,-.0713236,-.0142118,-.0066588,-.0061037,-.1696021,-.004217,.1176601,.0917537,26,.0109539,.0083174,.0291791
9,3,1,.4286034,.4918517,.2672087,.1003305,.6951151,.1170159,.5556209,.0841801,.8301358,-1.166079,-.8559241,-.7180544,-.2751061,1.306313,.6019246,.3439668,.4009008,.0433848,-.3350482,.4506074,.3661139,.2051571,.0241347,26,.0028813,.0307485,.1078711
10,3,2,.3187719,.3910914,.5163919,.0838846,.8022562,.1043475,.6689176,.0707417,.8878973,-1.36675,-.5782924,-.2497884,-.0674668,1.67597,-.0383873,-.077509,-.0379162,-.0825605,-.0677338,-.0948057,-.004904,.1884151,.1264364,26,.0150945,.0189725,.066559
