wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.7458265,.901139,-.3029965,.1399272,.3200139,.1421742,.2773579,.1194451,.708833,-1.859226,-1.453761,-1.097086,-.8502261,.7386017,.1563853,-.1123883,.0534852,.0301469,.1556288,-.1231294,.0453676,.1831037,.0322322,26,.0038356,.0325304,.117611
2,1,2,.6432855,.5594465,-.0572722,.0936379,.5256462,.0889794,.3135406,.0995537,.7949932,-1.676905,-1.166079,-.8476253,-.5782924,.944337,.156049,-.0073132,-.0047948,.0637076,.0608133,-.0641908,-.0369981,.2305282,.0539176,26,.0064162,.0297423,.1075308
3,1,3,.5051141,.4637778,.1112488,.109937,.5545858,.1215692,.3039357,.0998764,.7713727,-1.676905,-1.079068,-.760614,-.4729319,1.117673,.0716359,.0798388,.0965945,.0315499,.0811606,.1255273,.0672896,.2515782,.0564586,26,.0067186,.0163884,.059251
4,1,4,.401866,.3404424,.2176797,.0933986,.7066966,.1053075,.4544879,.0872516,.8368786,-1.900048,-1.057866,-.760614,-.4729319,1.243189,.1094116,.0305346,-.0038014,.0044241,.0459553,.1257067,-.0735442,.1689916,.1932194,26,.022993,.0082552,.029846
5,2,1,.6142026,.7848926,-.0812885,.1267599,.6319461,.128788,.5664763,.1193599,.8708349,-1.676905,-1.27144,-.9837575,-.5782924,.9219277,.0014733,.0395137,.1443358,.1614744,.2983308,.0386163,.140281,.0898271,.0348777,26,.0041504,.0287751,.1040341
6,2,2,.470022,.440092,.1299978,.1056561,.6531582,.1251414,.4302579,.0903405,.8283596,-1.676905,-.9837575,-.760614,-.2906103,1.138826,-.0266028,.0662513,.1204332,.1918518,.2508537,.0298531,.085847,.1479212,.0419785,26,.0049954,.0280784,.1015152
7,2,3,.2873946,.329417,.3186438,.0862441,.7294741,.1028918,.5463081,.0780661,.8194526,-1.549071,-.5782924,-.4729319,-.2497884,1.375261,-.0233905,.0424685,-.0079481,.026218,.0066381,.0608963,-.0463549,.1618816,.0333113,26,.003964,.0141042,.0509927
8,2,4,.2894461,.2545795,.4120769,.0797342,.7518557,.103046,.4845492,.0717727,.8431474,-1.842419,-.760614,-.4729319,-.1852498,1.509951,.1173395,.1040997,.1183446,-.0062331,.0538955,.2383327,.128785,.1560048,.096279,26,.0114572,.007226,.0261251
9,3,1,.4889729,.5499787,.2849188,.1149038,.70151,.1239795,.5986509,.1038122,.8272159,-1.27144,-.760614,-.3551489,-.0674668,1.329654,.3890518,.1533359,.0418483,-.1147944,-.2654623,.1869637,.027092,.1260257,.022486,26,.0026758,.0407647,.1473816
10,3,2,.3150722,.3835098,.4991526,.0782313,.8085713,.1011805,.6810343,.0639549,.8879102,-1.27144,-.5699936,-.2497884,-.0674668,1.647325,-.0128229,.0736386,.0610913,-.075469,-.0384444,.2137174,.146038,.1945246,.1207839,26,.0143732,.0203514,.0735791
11,3,3,.2132135,.2191401,.6990712,.087881,.7943078,.073857,.5847986,.0918167,.8531042,-.9837575,-.5374704,-.3394006,-.0674668,2.011883,.4348007,.1303376,.1360722,.0480177,.1106176,.4463739,.0840824,.2167507,.1028229,26,.0122359,.0109906,.0397357
12,3,4,.1139157,.2217134,1.005556,.0705541,.8360276,.1286816,.6322773,.0539951,.8940707,-1.27144,-.4241417,-.0674668,.1148548,2.733428,.1098139,-.0012036,.1790789,-.0030663,.1851258,.0010775,.1590325,.13835,.2116328,26,.0251842,.0050928,.0184126
1,1,1,.6852899,.7985482,-.2301376,.1370972,.4069577,.1552195,.3433179,.0652611,.6592238,-2.013377,-1.453761,-1.166079,-.9037148,.7944243,.1283443,.0022551,.1288043,-.0545709,.0046949,.041986,.2036001,.078819,.028093,29,.0035788,.0245835,.0888797
2,1,2,.6102639,.5875689,-.0162392,.1149503,.555777,.1205804,.3708876,.1069293,.8191792,-1.27144,-.9837575,-.760614,-.5782924,.983892,.1884464,.0189789,.0628542,.1147125,.141562,.0397268,.0082243,.0933082,.0457487,29,.005828,.0224765,.081262
3,1,3,.4924163,.2991485,.1990341,.1399704,.7005423,.169538,.3975162,.1273499,.8298846,-1.453761,-.8659745,-.6270826,-.4949108,1.220224,.1013857,.0029351,.0568358,.0897904,.1405,-.1208458,-.1309846,.0929943,.0434726,29,.005538,.0123849,.0447765
4,1,4,.4109432,.2988053,.2826483,.1049235,.7059615,.0968286,.4312021,.108373,.8230468,-1.27144,-.760614,-.403939,-.1415748,1.326638,.0859107,-.0332807,.0254288,-.0497698,.02291,-.0237346,.0131471,.0643166,.1640058,29,.020893,.0062385,.0225549
5,2,1,.6046024,.6396198,-.0196596,.1543737,.6186751,.1649218,.5094799,.1356524,.8124799,-1.453761,-1.27144,-.760614,-.5599433,.9805323,.0894846,-.2154549,-.0206094,-.2000382,-.1646168,-.311676,.064471,.0240606,.0402861,29,.0051321,.0217456,.0786195
