wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,0,.7184827,.3031932,.1372268,.3889297,.1576226,.2220697,.0851731,.8147861,-1.101638,-.9474877,-.7243441,-.2543405,1.354176,.0207104,.1507239,-.0891965,.0648807,.0171869,.4536129,-.1604562,.4039158,.0127386,26,.0015263,.0257757,.0669348
2,1,2,.0140578,.4321094,.4985018,.0968409,.6550292,.1166327,.3660637,.0817813,.8749038,-.8297046,-.5420225,-.072019,.0113627,1.646253,.1523694,.0443967,-.0510873,.1029742,-.0700359,-.1113763,-.1377952,.3867249,.0196053,26,.0023491,.0312734,.0812114
3,1,3,.0048635,.2412226,.5974836,.0958209,.7332579,.1237431,.3638579,.0869442,.8506937,-1.571642,-.4730297,-.1365575,.1511246,1.817539,.0364893,.0355554,-.0344787,-.0316379,-.0780481,.2438302,.0668509,.0412894,.018739,26,.0022453,.0163901,.042562
4,1,4,.0041658,.2298697,.6478615,.0703942,.7368171,.1192222,.3634686,.05582,.8482547,-.8297046,-.318879,-.1365575,.1511246,1.911449,.1356271,.0500906,.0360519,.0144576,.0082073,.1065933,.0323073,.4116369,.1440398,26,.0172586,.005971,.0155056
5,2,1,0,.697474,.4466098,.1002698,.5715033,.1070309,.441238,.0846822,.8718302,-1.23517,-.4730297,-.2543405,.0065434,1.563004,.2811122,.377618,.2175098,-.3036841,-.1349157,.5146143,.1802277,.4092504,.0254773,26,.0030526,.0321414,.0834652
6,2,2,.0043113,.3424955,.5319737,.0947231,.7197202,.1677679,.473312,.056674,.8480747,-1.33048,-.7243441,-.2543405,.0558145,1.702289,.2718191,-.0382611,-.0012929,-.2224112,.0240995,.1582053,.0437779,.3939029,.0248035,26,.0029719,.0307229,.0797818
7,2,3,.007234,.2621736,.6419505,.0502925,.7794765,.0582227,.5175174,.0474746,.872559,-.318879,-.1647283,-.072019,.187135,1.900184,.1559806,.1907734,.1974555,.0837061,.1486674,.6000962,.1467832,.5956581,.0226857,26,.0027182,.0152966,.0397225
8,2,4,.0030678,.1954017,.7508236,.0783427,.7885731,.1458427,.4631236,.0619499,.8676106,-.7651661,-.318879,.0457641,.2381359,2.118744,-.0878641,-.0965312,-.0098266,-.0279853,.0116919,-.2038705,-.0160904,.4581268,.083074,26,.0099538,.0079248,.0205791
9,3,1,0,.4081348,.6012481,.0595175,.827978,.1091282,.655522,.0253072,.9468992,-1.417491,-.6373327,-.2318677,.1511246,1.824394,.1522237,-.0161437,.1220623,-.1733194,.0878848,.0918412,.1811802,.289749,.0339163,26,.0040638,.0332682,.0863914
10,3,2,.0008782,.227259,.8020861,.0568623,.8546252,.1138623,.6403691,.0400989,.9176367,-.8604763,-.031197,.1511246,.4102785,2.230189,.1117406,.0068308,.0260664,.0553533,.0429446,-.0784117,.0058068,.3645318,.123151,26,.0147558,.0237059,.0615599
