informal	lwh_formal	lwh_informal	unemp	year	fs_1_5_inf	fs_11p_inf	fs_1_5_for	fs_11p_for	share	ed_group
.1731381	1.183182	1.054998	.0565423	2012	.3060511	.5896558	.0446074	.907411	1	0
.2394372	.8842459	.6846436	.0484732	2012	.4554592	.4386579	.0640581	.8823364	.2057791	1
.2282145	.9266526	.7575577	.0742022	2012	.3748071	.5110536	.0543017	.8873586	.1785435	2
.141043	1.114512	1.004198	.0639116	2012	.2679821	.6239648	.0405084	.9112206	.4476426	3
.1189269	2.004776	1.959915	.0280278	2012	.1514421	.7666899	.021407	.9492761	.1680348	4
