wk_group,ed_group,age_group,binding,informal,lwh,fs_6_10,fs_11p,fs_6_10_inf,fs_11p_inf,fs_6_10_for,fs_11p_for,lwh_inf_p01,lwh_inf_p05,lwh_inf_p10,lwh_inf_p20,w,wp_formal,wp_fs_6_10,wp_fs_11p,wp_fs_for_6_10,wp_fs_for_11p,wp_fs_inf_6_10,wp_fs_inf_11p,trans_U2E,group_share,region,group_share_all,trans_F2U,trans_I2U
1,1,1,.7810389,.9110923,-.297548,.1172812,.342006,.1158499,.2990115,.1319481,.7825974,-1.859226,-1.36675,-1.097086,-.801436,.7426369,.2717268,-.0767506,.00164,.0704094,.1445161,-.0789207,-.0106793,.1990459,.0321701,26,.0038219,.0253995,.0946065
2,1,2,.6241037,.5607792,-.0605148,.0911775,.5497718,.0907933,.3401158,.0916679,.817452,-1.676905,-1.212599,-.9498559,-.5782924,.9412798,.1926915,.0658065,.1048061,.0675497,.1069203,.0347016,.0876432,.2135544,.0539898,26,.0064141,.0256298,.0954644
3,1,3,.5190266,.4547318,.1062415,.1086815,.5912232,.1191081,.3366616,.0999861,.8035172,-1.676905,-1.166079,-.878397,-.5137539,1.11209,.1237326,.0621127,.1536376,-.0054497,.12481,.123101,.1176328,.2070284,.052731,26,.0062646,.0148355,.0552583
4,1,4,.4314391,.3360463,.2135041,.0889758,.7019786,.1023851,.4485311,.082189,.8302557,-1.859226,-1.117289,-.760614,-.450459,1.238009,.0450403,.0001337,-.0001443,.0019122,.0275197,.0173546,-.0282199,.1644573,.1953283,26,.0232056,.0085194,.0317325
5,2,1,.5840526,.7684926,-.0832893,.1146149,.5835252,.1219653,.4978119,.0902149,.8680518,-1.636083,-1.27144,-.9837575,-.6270826,.920085,.0564785,.0229949,.1485719,.1218324,.1880061,.00834,.1524307,.1454225,.0362263,26,.0043038,.0266082,.0991086
6,2,2,.5055897,.4478654,.1043057,.1048871,.6397856,.1279218,.4222506,.0862024,.8162397,-1.676905,-1.022978,-.801436,-.4729319,1.10994,.0780134,.0396976,.1169783,.0023109,.1350873,.076298,.0838433,.1605094,.0432548,26,.0051388,.0253255,.094331
7,2,3,.364756,.3062176,.2755906,.0909511,.7511685,.1014032,.5940494,.0863379,.8205169,-1.859226,-.9429356,-.5782924,-.2906103,1.317308,.1117162,.0323863,.0064764,-.0111451,.008216,.1355777,.0019034,.1774327,.0336387,26,.0039964,.0154985,.0577279
8,2,4,.2966167,.2704976,.4081476,.089215,.737223,.1257201,.4830738,.075679,.8314608,-1.676905,-.801436,-.4729319,-.2216175,1.504029,.1003887,.0384534,.0862907,-.0361246,.0160309,.0931539,.1295062,.1800533,.0912651,26,.0108426,.0074389,.0277079
9,3,1,.3562985,.5661401,.3029182,.1346273,.6554157,.1267192,.5546294,.1449466,.7869307,-1.676905,-.760614,-.4729319,-.1627769,1.353804,.3925213,.2904931,.1680589,.0962471,-.2031267,.27209,.2747793,.1422253,.0222044,26,.0026379,.0339688,.126525
10,3,2,.3064263,.3843624,.4891157,.08721,.799309,.1080883,.6755733,.0741749,.8765612,-1.32023,-.5374704,-.2497884,-.0674668,1.630873,.0350792,.0703405,.0687465,-.0263082,-.0049572,.1563878,.1171949,.1660132,.1249038,26,.0148389,.0198845,.0740646
11,3,3,.2147932,.2484471,.7047667,.0808333,.8005818,.1017808,.5825652,.0739085,.8726533,-1.27144,-.4729319,-.2497884,-.0186766,2.023375,.2227794,.1217687,.0684545,.0361462,.0258413,.2724867,.0700975,.1944892,.0973844,26,.0115696,.0103875,.0386908
12,3,4,.1143584,.2259197,1.012037,.0745194,.8386393,.1238908,.6372939,.06011,.897403,-1.206901,-.444761,-.1082888,.0866839,2.751198,.1036717,.0435457,.1765294,.0667533,.2077219,.0108184,.1291448,.1631992,.2169033,26,.0257687,.0049494,.0184351
1,1,1,.6159641,.8017883,-.2424891,.1319213,.3801807,.1407564,.3159392,.0961823,.6400444,-2.013377,-1.607912,-1.166079,-.9429356,.7846723,.1077809,.0374231,.0463936,-.0405597,-.0031186,.0479483,.0486552,.0805329,.0292583,29,.0037264,.0192916,.0718563
2,1,2,.605691,.6069314,-.0374564,.0964632,.5562266,.1053829,.3699773,.0826904,.8438115,-1.676905,-1.166079,-.9429356,-.6175132,.9632364,.1107221,.0508836,.0128599,.0651845,.042878,.055669,-.0338647,.0780549,.0465784,29,.0059323,.0194666,.0725079
3,1,3,.4972737,.3395237,.1901287,.1269189,.6917247,.1741445,.4274028,.1026421,.8276017,-1.453761,-.8967462,-.5782924,-.4729319,1.209405,.1504238,.1265883,.1051585,.1200839,.1433329,.1209514,-.0028931,.0717591,.044393,29,.0056539,.011268,.0419702
4,1,4,.3677698,.3010909,.3183819,.0936327,.726126,.0986965,.465263,.0914513,.838506,-1.27144,-.760614,-.4729319,-.1852498,1.374901,.0148388,.0369174,.0288371,-.0229281,-.0321376,.055446,.0561746,.0651625,.1642638,29,.0209207,.0064707,.0241017
5,2,1,.567767,.7074989,-.0143856,.1391884,.583049,.1582037,.4986257,.0931941,.7872514,-1.453761,-1.097086,-.8094041,-.5782924,.9857174,.0811547,-.1012449,.0173375,.019175,.0644625,-.1614305,.0168597,.0393379,.0380325,29,.0048438,.0202097,.0752757
6,2,2,.4791467,.4335892,.1775232,.1119427,.6698325,.1225162,.5202821,.1038487,.7843137,-1.636083,-1.166079,-.7324431,-.2906103,1.194256,.14688,.1718228,.147419,.2198408,.1120159,.0869314,.1833796,.0826588,.0523844,29,.0066717,.0192354,.071647
7,2,3,.3106171,.2087321,.3794348,.1667243,.6980544,.2292697,.4418342,.1502252,.765644,-1.964587,-1.166079,-.2906103,-.1082888,1.461458,.0366055,.0664337,.1571092,.1485554,.228327,-.0517227,.0405114,.1068082,.0334334,29,.0042581,.0117716,.043846
8,2,4,.2581944,.2032759,.4964304,.0923584,.7875257,.135527,.5187532,.0813443,.8561001,-1.119559,-.4241417,-.2497884,-.0674668,1.642846,.0836639,.0264488,-.018836,-.0279992,-.0525497,.1276361,.0010485,.0641928,.098604,29,.0125583,.00565,.021045
9,3,1,.3554434,.3790188,.2904396,.151565,.6109725,.1071341,.5182643,.1786837,.6675574,-1.725695,-.9429356,-.5782924,-.1627769,1.337015,.1409381,.3554885,.5506343,.293534,.583815,.3538062,.4235464,.0455013,.0223759,29,.0028498,.0258003,.0960993
10,3,2,.2771907,.3155882,.5760051,.0901273,.7902483,.1192134,.6462241,.0767155,.8566591,-.801436,-.444761,-.2497884,-.0266448,1.778918,.0844156,.0692264,.1212697,.0400169,.1133675,.1047385,.100562,.0760779,.1164786,29,.0148348,.0151028,.0562541
11,3,3,.211949,.1851822,.7853134,.0634321,.8506832,.1085273,.6822522,.0531835,.8889623,-.878397,-.2497884,-.0674668,.1148548,2.193094,.0945301,.1114098,.0793005,.1651873,.099175,.0244804,.0506698,.066679,.1009851,29,.0128615,.0078896,.0293867
12,3,4,.1158501,.1495533,1.14967,.0637118,.8636865,.1146942,.6830046,.0547465,.8954599,-.8559241,-.4531293,-.1082888,.0866839,3.157152,.0846425,.0431226,.0330803,.0257703,.0415764,.1139486,-.0106541,.0591923,.2532129,29,.0322494,.0037592,.014002
1,1,1,.6051734,.7350994,-.0011617,.0894528,.364861,.0845461,.2173988,.1030689,.774069,-1.453761,-.9837575,-.6960755,-.4482393,.998839,.004758,.0691461,.154405,.0349414,.0727116,.0657372,.1816508,.2634419,.022574,31,.0041709,.0276477,.1029803
2,1,2,.3882414,.3899199,.2193503,.1094044,.6046305,.1120951,.2687391,.1076847,.8193086,-1.676905,-.760614,-.4729319,-.2497884,1.245267,.1032146,.1160065,.0526811,-.0255463,-.0236298,.2204855,.0535417,.2290937,.0371661,31,.006867,.0278984,.1039141
3,1,3,.2848456,.2653828,.3741085,.1110988,.6768954,.1374379,.3257084,.1015838,.8037629,-1.27144,-.5782924,-.3551489,-.1082888,1.453695,-.064686,.0396345,.0287938,-.0143393,-.0009401,.1537549,.0951439,.311967,.0497797,31,.0091975,.0161486,.0601492
4,1,4,.2167711,.2434893,.4982233,.0807121,.7441669,.1134679,.3715474,.0701694,.8640976,-1.283862,-.5782924,-.2906103,-.0674668,1.645795,.0288861,.0722323,.0565223,.0279225,.0296777,.1342004,.0713959,.2166986,.2186123,31,.0403917,.0092734,.0345411
5,2,1,.5689829,.5460773,.1405111,.1065838,.5779929,.1070364,.3998433,.1060393,.79231,-1.166079,-.760614,-.4982497,-.2497884,1.150862,.056594,.0598226,.0539073,.0478224,.0674767,.0717816,.0368472,.1664573,.0548835,31,.0101405,.0289633,.1078808
6,2,2,.3700823,.2913152,.2967812,.0999663,.6743662,.1116792,.359815,.0951515,.8036671,-1.166079,-.5782924,-.3551489,-.0880861,1.345521,.1045137,-.0537615,.0032339,-.0765938,-.0201608,-.0319426,-.0026048,.2646494,.0491726,31,.0090853,.0275671,.1026804
